estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Caffè Latte,5,Café Impresso,4.5,42,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOinu9Y0Ci0AZzlSBO62OJcKzV-TSf1Fw53r5ID=w156-h156-n-k-no,-23.568294599999998,-46.6486899
Gateria Cat Cafe,1,Gatcha,4.7,151,"['Cafe', 'Pet adoption service']",https://lh5.googleusercontent.com/p/AF1QipO9zgJw25fR-1QjIeZcOeyc-MNvMhtFczX1Jt7-=w156-h156-n-k-no,-23.546437299999997,-46.642226199999996
Gateria Cat Cafe,2,Gato Pingado,4.4,110,"['Coffee shop', 'Coworking space']",https://lh5.googleusercontent.com/p/AF1QipNqDkEVnkxUziokXbuR2pgaMbr2uSQopm0vLZDz=w156-h156-n-k-no,-23.5601782,-46.6781357
Gateria Cat Cafe,3,Gato Griô Café 2D,4.5,444,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipO-ChSEW96_7D80rzs5p4QTdZfVAFU2qlTCOY2I=w156-h156-n-k-no,-23.5519323,-46.659760999999996
Gateria Cat Cafe,4,Gattini Vet & Caffè,4.4,92,['Veterinarian'],https://lh5.googleusercontent.com/p/AF1QipMAg4f6A2wwMJhHCkHW0Kz8U5vKZ6RhBhzOYl6A=w156-h156-n-k-no,-23.641113999999998,-46.6752306
Cafe Sabor Mirai,1,Sterna Café,4.3,88,"['Coffee shop', 'Cafe']",https://lh5.googleusercontent.com/p/AF1QipOFmys3Dp3Jb2hmnZrS-rjSRMUNHYT0bz4ExNq3=w156-h156-n-k-no,-23.5628133,-46.653711
Cafe Sabor Mirai,2,Café Mestiço,4.6,417,"['Cafe', 'Coffee shop']",https://lh5.googleusercontent.com/p/AF1QipMwjQvZzkc8ITJMl7e56W2iwmAPqFYgEmDts3_2=w156-h156-n-k-no,-23.5683626,-46.6487867
Cafe Sabor Mirai,3,Café Impresso,4.5,42,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipOinu9Y0Ci0AZzlSBO62OJcKzV-TSf1Fw53r5ID=w156-h156-n-k-no,-23.568294599999998,-46.6486899
Cafe Sabor Mirai,4,Starbucks,4.4,5588,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipN-ku1W-G9pQxuDCHI4T1f8qXf8eCHZrD85o4aD=w156-h156-n-k-no,-23.5678371,-46.6480323
Cafe Sabor Mirai,5,Suplicy - Cafés Especiais - MASP,4.2,73,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPbvA10kMkJuhCnGSbOzVe4icnQIlkAbLQ8T96y=w156-h156-n-k-no,-23.561462,-46.656106
