title,place_id,dine_in,takeout,delivery,drive_through
Restaurante Sr. dos Pratos,ChIJaW0BBQBRzpQRyvVRhbngUtk,True,True,False,False
Cacerola,ChIJ5XwKfcmJzJQRRlsb_-K8VQ0,True,True,False,False
Restaurante Saída 26,ChIJk75Rn88Dz5QRUmmqbXtg4Ug,True,True,True,False
Restaurante Puro Sabor de Ipanema,ChIJOWpmNwXVmwARAerbOcgrZLE,True,True,False,False
Fitó,ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,True,True,False,False
Tempero Manero,ChIJzXOTr3F6zpQREonFacwk8sg,True,True,False,False
Talheres Restaurante Self-Service,ChIJGwycOXNXzpQR_DOWfX0PAfk,True,True,False,False
Bom de Minas Restaurante,ChIJWwr1weBQzpQRRbgL43Cbh5I,True,True,False,False
Restaurante Pais & Filhos,ChIJT2hqm6NXzpQRrtvbTCDo_OM,True,False,True,False
Restaurante Diniz,ChIJl5gYIPofzpQRHYBK-sTjfIA,True,True,False,False
Restaurante Bom de Garfo,ChIJ5y4kLmwDzpQRmWL0QjyMpWA,True,True,False,False
Restaurante & grill Per Tutti,ChIJCSATGsUY35QRfKsA2-RcpDM,True,True,False,False
Cantina Gigio,ChIJA106w3dXzpQR8LrzPvJJyNg,True,True,False,False
Paraiso da Moema,ChIJzVK5uQ9azpQRa5TUUr5dz4s,True,True,False,False
Restaurante SueD,ChIJBw5NfFJgzpQRqg20dUIKLOI,True,True,False,False
Restaurante Goes França,ChIJFzxh-9FhzpQRlYu07GKxEPg,True,True,False,False
Mugui,ChIJZW9ooKlZzpQRpE2_1q2Udcs,True,True,False,False
Shiro Restaurante,ChIJi4uoVLhmzpQRqJra-MvbiW0,True,True,True,False
Restaurante Pio XII,ChIJd1J6HlX1zpQRrSBtZQ5IMmI,True,True,False,False
Restaurante Lucky Culinária Chinesa,ChIJv86R4adZzpQRepfKltkZQHg,True,True,False,False
Restaurante Ímpar,ChIJ73dkTbtgzpQRu9KamYVtR3E,True,True,False,False
Restaurante Super Barato,ChIJu4l6ek30tZQRjTzb2STLprI,True,True,True,False
Restaurante Mamarella,ChIJGQrHUAlazpQR_0QoODi34E4,True,True,False,False
Restaurante Cecília,ChIJBVMXKQrYzZQR96PeX0ZA6Gs,True,True,False,False
Restaurante Barão Gourmet,ChIJe2FMORenmQARliqj3365oTc,True,True,True,False
Típico Paulista,ChIJ7c6iLMlZzpQRNEkAv1Nfd44,True,True,True,False
Tanka Restaurante,ChIJL7T4G6lZzpQR1pzauoGi1gI,True,False,False,False
Restaurante e Lanchonete Nova Pinheiros,ChIJkQMZowpXzpQRflk4aBWytws,True,True,False,False
LEVANTE BAR E RESTAURANTE,ChIJl1-TCg1fzpQReolH5hXG8-8,True,True,False,False
Prato Feito PPD,ChIJoVhEXAtZzpQRJCPYwI3nZvo,True,True,False,False
Santa Luzia Restaurante,ChIJ9SymEm6LzpQRqPCEF0SstdA,True,True,False,False
quilinho,ChIJ5_s8IHtZzpQRogxM7GDdJFc,True,True,False,False
Yellow Restaurante,ChIJ01_spJFZzpQRqrIza3aV6iU,True,True,False,False
Mestiço,ChIJVXVFNjJYzpQRqyWHMYK1C18,True,True,False,False
Vicolo Nostro,ChIJn8NM579QzpQRWT06N8pdDgQ,True,True,False,False
Morais & Marques Restaurante,ChIJwePGXU9XzpQRYTbjbYcmiSg,True,False,False,False
Tenda Árabe,ChIJ8fhlMelbzpQROHh5INSx6uY,True,True,False,False
Restaurante Rong He Liberdade,ChIJAw8StqdZzpQRBpZ57GrkIh4,True,True,False,False
Vila das Rosas,ChIJ15_vxKRXzpQR7q5wWc0L3oM,True,True,False,False
Bar e Restaurante Avenida,ChIJOxDKZecDzpQRzu_YYUBdOb4,True,True,False,False
Bar Guanabara - O Bar Mais Antigo de São Paulo,ChIJ1faqFVRYzpQREQql76sHeE0,True,True,True,False
Cantina Italiana Famiglia Rossi,ChIJT1JB8_RczpQRmHfeUAtXU5I,True,True,False,False
Bolinha Restaurante,ChIJfUd9M29XzpQRXVbYNG3rM00,True,True,False,False
Restaurante Asia House,ChIJhfs_dalZzpQRwxP5_vUk5nc,True,True,True,False
Restaurante São Paulo Express,ChIJicTSNihazpQRFuUy2Fp4VUA,True,True,False,False
Det's,ChIJMaRh86VXzpQRj-xjIUJe4_Q,True,True,False,False
Restaurante M&M,ChIJx1tK4aRlzpQRSYIMzogk75g,False,True,False,False
Coco Bambu Osasco,ChIJqXw5Nfr_zpQRhLF4T2JH01E,True,True,False,False
Quintal do Izi,ChIJq6ontqBXzpQRnNcv1srOl_A,True,True,False,False
Agello Cucina,ChIJGw3R6HdazpQR2GBaZdGv7RQ,True,True,False,False
Djapa Moema | Restaurante Japonês,ChIJmaIvAgNazpQR0z0yYoVBpaY,True,True,False,False
Restaurante Dona Maya,ChIJ526RwgZ9zpQReIWMZvz6coc,True,True,False,False
Urban Kitchen,ChIJyVVQiJRRzpQR_PHTpjV9R6M,True,True,False,False
Costela & Cia,ChIJVXWztQRDzpQRDJlrroOItZE,True,True,False,False
Cena Restaurante,ChIJ5-HZeYdBzpQRiZXbTSH7ul8,True,True,False,False
Jui Restaurante,ChIJK5Wy7x9RzpQR7SMlgNIn07s,True,True,False,False
Trigoart Restaurante,ChIJ9QOMgJ9azpQRe9MQcUXf0gM,True,True,False,False
Peru's Sandubas,ChIJCzHKyyxZzpQRDIEmXRewBGI,True,True,False,False
Porta do Sol - Restaurante do Paquito,ChIJE2-mDH8DzpQRKj9D3grPSEc,True,True,False,False
Fôrno,ChIJQa7iAElYzpQRb5OWe0n_1VY,True,True,False,False
Restaurante Jangada Santo André,ChIJeboeVl5DzpQR0dNQjRmAm-c,True,True,False,False
DiBaco Vila Nova,ChIJ_5nC0VdXzpQRDk8zO8fFBGA,True,True,False,False
Umiguan Restaurante,ChIJk6oq82ZYzpQRswoYjV1ytDU,True,True,False,False
Restaurante Prato Cheio,ChIJ-YUOABh2zpQRNT9enWRaKbg,True,True,False,False
MIZUKEN RESTAURANTE JAPONÊS,ChIJ272BfFD1zpQR7fWMwtQnwfs,True,True,False,False
Restaurante Banzeiro SP,ChIJSReWN-BXzpQRnczEqxxpsFY,True,True,False,False
Restaurante Nina,ChIJYdY4ZvTXzZQRWgM5jbD_bY8,True,True,False,False
Restaurante e Churrascaria 25,ChIJt4L_q_hYzpQRGCLEl3Q5f6U,True,True,False,False
Ponto Chic,ChIJw8A9BFFYzpQRyf3Mmt8uwq4,True,True,False,False
Fonte Leone,ChIJRx3ClMdWzpQRW8n_1_Lphm8,True,True,False,False
La Tambouille,ChIJX5TN42hXzpQRBeNZ59YSKNE,True,True,False,False
Restaurante Chic Chopp III,ChIJPcPs0lQQyZQRf1Ql9KEBODE,True,True,False,False
Frango Chic,ChIJMX0Nd4jfmwARmxVWsfSggPs,True,True,False,False
Coco Bambu Anhembi,ChIJq6oGJ-H3zpQRezSvQ3j94Lw,True,True,False,False
Nonnetto Ristorante,ChIJjScwFkT1zpQR9IoSNwF5VTc,True,True,False,False
Casa do Norte Chique,ChIJwel_9pxdzpQRmMcgiLb9tZk,True,True,False,False
Ponto Chic Perdizes,ChIJlz-f8BpYzpQRRuDF8CBSnAE,True,True,False,False
Ponto Chic Paraíso,ChIJa0t8x49XzpQRD14YlFxwq7g,True,True,False,False
Nordeste Chic,ChIJu-gx2e9hmQARCfg2LKfBVmM,True,True,False,False
Restaurante Lilló,ChIJQaA7JiJazpQRJiXU_qDLdJ0,True,True,False,False
Terraço Itália,ChIJz36TCeJZzpQR4vkgCNah0Dw,True,False,False,False
Praça São Lourenço,ChIJF4g6k0xYzpQRt-eBJ-ets84,True,True,True,False
Josephine Restaurante,ChIJWZPI3VdXzpQR_CepIUcb0to,True,True,False,False
Moema Chic,ChIJTygCU5_1zpQRJCxxsiXSTqM,True,True,False,False
D'autore Restaurante,ChIJpWMvtFbPyJQROBgvdL4VMaI,True,True,True,False
Loup Restaurant,ChIJv5CU_kFXzpQRAD-4fc89qPA,True,True,False,False
Restaurante Catalina,ChIJq6r-cw8DzpQRAYqmeLgqpCI,True,True,False,False
La Varenne,ChIJn_vck47j3JQRAp0-oujzOFg,True,False,False,False
Marettimo Restaurante,ChIJZ68NX0RdzpQRLJUylYoo9f0,True,True,True,False
Lellis Trattoria - Curitiba,ChIJtzPt_47j3JQRAUmR8xhZOdA,True,True,False,False
Base Steakhouse,ChIJ78fhdpCKzpQRRYzvCqiKt0g,True,False,False,False
ICI Bistro,ChIJbzGqHDFYzpQR2Kw1Tf1PtzM,True,True,False,False
Chef Rouge,ChIJP-UPbzRYzpQRdxqmmSZbSY4,True,False,True,False
Nico Pasta & Basta,ChIJb3DBGe9bzpQRIXK1vMiJCgY,True,True,False,False
Outback Steakhouse,ChIJJe5aAvhbzpQRG--n0g6O0hU,True,True,False,False
Térèze,ChIJH0v_iZ1_mQARpAnZLBmR4RI,True,False,False,False
Restaurante Neto,ChIJMSQ2sEFRzpQRTPlxQHw7bxQ,True,False,False,False
Saint Peter Restaurante,ChIJ6zbQyyoZ35QRsn9HXi1ix1w,True,True,False,False
Olea Mozzarella Bar,ChIJH5Va0nlXzpQR2ObHRfI06xI,True,True,False,False
Restaurante Bellé,ChIJk53J9_PL2JQRORVNSJY8w8Q,True,True,False,False
Macarronada Italiana,ChIJuWw_My3PyJQRXiQjcjwoGx0,True,True,False,False
O Italiano Restaurante,ChIJMeJf3xq9pgAR_XIq15X8UlI,True,True,False,False
D.O.M.,ChIJ_Qdn5dZZzpQRWJ5lDWdVmSY,True,False,True,False
Osteria Nonna Rosa,ChIJAVpUeQxZzpQR0ebg-yitws4,True,True,False,False
Restaurante Kitchin,ChIJ5zcZVEdXzpQRQT0a7CLIh0U,True,True,False,False
Restaurante Président - Chef Érick Jacquin,ChIJ77XVurZZzpQRhbzafdDjenA,True,False,True,False
Honra Restaurant,ChIJtbAMutDQ7JQRAtEcqAMIU4I,True,True,False,False
Bobardí,ChIJ050Ozyjk3JQRuwiwNz-6s14,True,True,True,False
Zazá Bistrô Tropical,ChIJe3Hs4ATVmwARsLPcaC--ux8,True,True,True,False
Banana Verde Restaurant,ChIJL5q_pZdXzpQRTUa5vyc5d_Q,True,True,False,False
Restaurante Pérgula,ChIJjZJPDlTVmwARJnson9A3CG4,True,False,False,False
La Villa Restaurante Rio de janeiro,ChIJ72rPsfx_mQARt0zL7AMz0OY,True,True,False,False
Na Moita Grill Churrascaria,ChIJqfX1U9Qe35QRDvpdHhKVQPA,True,True,False,False
Enosteria Vino e Cucina,ChIJBx3XaxNXzpQRQnKb57xyDEY,True,True,False,False
Gaucho Mallet Grill,ChIJl9cmu64dzpQRIYAxRQqauf0,True,True,False,False
Mimo Restaurante,ChIJe5d1ZMJZzpQRDBPnvPrY0DY,True,True,True,False
Bistrô Charlô,ChIJO_UYIddZzpQRQVkwf6sCJVc,True,True,False,False
Restaurante Contos de Réis,ChIJaZP3ih8LpAARxu-bFgePUy0,True,True,False,False
Café Journal,ChIJ85TN9BFazpQRi_sXK84nr6k,True,True,False,False
Fazenda Paraíso Atibaia,ChIJk6ltZzNXzpQRuLaGg_4ozS4,True,True,False,False
Don Mariano,ChIJ7TA96cJQzpQRgbxpzHnOl04,True,True,True,False
Thai E-San Restaurante Tailandês,ChIJ8c4ovCVZzpQRa3GGPu_zgWY,True,True,False,False
D'Heaven,ChIJ719_w5zbmwAR_f3J1Srh1_s,True,False,False,False
Ostro Cozinha & Vinho,ChIJmdCXtbK32JQRGeIHamnST7E,True,True,True,False
Famoso Restaurante,ChIJW_nBToynsJQRRJsKcph13is,True,True,False,False
Bistrot venuto,ChIJ6VTodMNZzpQRPpJzkKiI9to,True,True,False,False
Gold Star,ChIJu0h_vBACzpQR5oPg1cBax4w,False,False,False,False
Terrazza Rooftop Jardins,ChIJYekTs_dZzpQRQChNY4Exj1k,True,False,True,False
Misturaria Fina Mezcla,ChIJHdHkh_aDmQAR9WUEFFVvyBw,True,True,False,False
Maria Pimenta Lanchonete e Restaurante,ChIJGzxR4g3_zpQRnVTIxRvYPkQ,True,True,False,False
Delírio Tropical Ipanema,ChIJKbHAmQbVmwARS6v8RFPerJs,True,True,False,False
Bill Breads Bakery,ChIJf1Lls4cBz5QRb8Iocia7rbk,True,True,False,False
Manacá Restaurante,ChIJc_dvlTCB0pQRkenZ1t6DQN8,True,True,False,False
Domo Sushi Bar,ChIJFQdL95NezpQRNVb51MFQ-ps,True,True,False,False
Le Bou Bistrô,ChIJxSQwQF5XzpQRX2VbgRBA4GY,True,True,False,False
Catedral do Chopp,ChIJETTGYLDIyJQRt-S6agZpTjQ,True,True,False,False
Restaurante Cremerie,ChIJwRDt_XhMmAAR2Ov6CKnryTk,True,False,False,False
Fazenda da Comadre,ChIJlxuwAramzZQRfyoTTUqUb5g,True,True,False,False
Maya Café,ChIJ_8iJ3-p_mQARj22svCC6BBU,True,True,False,False
Esfiha Chic - Tatuapé,ChIJS3BHAcBezpQRWGeS8VSHRXA,True,True,False,False
Quitéria Café,ChIJu7f4RgTVmwARGyS8k9Jcq0o,True,True,True,False
Frevo,ChIJKRUBl9ZZzpQRo4N6odTPPeM,True,True,False,False
Nola,ChIJXxfMXLPVmwARuO3YC_0Jd_A,True,True,False,False
Hai Yo,ChIJN2Bx3z7l3JQRog_i53ArZYU,True,True,False,False
Cha Cha,ChIJ7-DihENXzpQRu2KD_QcYvpQ,True,True,False,False
Hospedaria Mooca,ChIJ430S80ZZzpQR1UOJMRTY3EA,True,True,False,False
Al Bak Comida Árabe,ChIJv5KmTezQ7JQRUC_dKNkZqkU,True,True,False,False
Mistico Restaurant,ChIJ5abFEAtVlgARu-AkAdXLV3A,True,False,False,False
Dati Restaurante,ChIJlfjyU9v_0ZQRIuyWWkv4W1g,True,True,False,False
Joy Sushi Santana,ChIJi_801TX2zpQRCFI2pF7_4IU,True,True,False,False
Esther Rooftop,ChIJ16UsOE5YzpQRO0LivicU0GY,True,False,True,False
Restaurante Capim Santo São Paulo - Museu da Casa Brasileira,ChIJe3cY4M1ZzpQRAsQpeMVzkXk,True,True,False,False
