sunday,monday,tuesday,wednesday,thursday,friday,saturday,title
"{'time': '7\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 41}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 71}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 68}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 74}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 78}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 76}","{'time': '7\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 62}",Flor de Coimbra
"{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 37}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 60}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 54}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 59}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 64}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 64}","{'time': '8\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 50}",Flor de Coimbra
"{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 27}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 41}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 35}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 38}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 42}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 46}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 33}",Flor de Coimbra
"{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}","{'time': '10\u202fPM', 'busyness_score': 0}",Flor de Coimbra
"{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}","{'time': '6\u202fAM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}","{'time': '7\u202fAM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}","{'time': '8\u202fAM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}","{'time': '9\u202fAM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}","{'time': '10\u202fAM', 'busyness_score': 0}",Viareggio Ristorante
"{'time': '11\u202fAM', 'busyness_score': 0}","{'time': '11\u202fAM', 'info': 'Usually not busy', 'busyness_score': 13}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 35}","{'time': '11\u202fAM', 'info': 'Usually not busy', 'busyness_score': 18}","{'time': '11\u202fAM', 'info': 'Usually not too busy', 'busyness_score': 26}","{'time': '11\u202fAM', 'info': 'Usually not busy', 'busyness_score': 17}","{'time': '11\u202fAM', 'info': 'Usually not busy', 'busyness_score': 9}",Viareggio Ristorante
