title,place_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday
Over Night,ChIJ09v2kU1XzpQR5lbn6OS9KtM,Closed,Closed,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM
Bulls Club,ChIJtwce8MZezpQRTdhs19tfKFM,Closed,Closed,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM
80's Club,ChIJqR92PqJXzpQRbTvR5vyiXWs,Closed,Closed,Closed,Closed,Closed,Closed,10 PM–5:30 AM
Villa Country,ChIJ15-r_QJYzpQRiei5zjngGY8,,,,,,,
Milo Garage,ChIJq68HLixYzpQRmXfQiYFHxRU,Closed,Closed,Closed,Closed,Closed,10:30 PM–5:45 AM,10:30 PM–5:45 AM
Casa 92,ChIJV4qxWqFXzpQR58H3mxjmxEk,Closed,Closed,Closed,Closed,10:30 PM–5 AM,10:30 PM–5 AM,10:30 PM–5 AM
Cine Joia,ChIJh-JOX6lZzpQRaxv2NyF1ves,,,,,,,
Balada Royalle - São Paulo,ChIJT4cLHgtXzpQRanqooDn-gW0,Closed,Closed,Closed,Closed,Closed,Closed,2–9:30 pm
Bar To Zé - Bar da Lôca,ChIJ_aELsDRYzpQR2boY1UqrQiQ,6 am–1 am,6 am–1 am,6 am–1 am,6 am–1 am,6 am–1 am,6 am–1 am,7 am–1 am
Dj CLub,ChIJUYPAvsVZzpQRioencng7blw,Closed,8–9 pm,Closed,Closed,11:30 pm–6 am,11:30 pm–6 am,11:30 pm–6 am
Alberta #3,ChIJhe5DwE1YzpQRPTzYvyfkoKw,Closed,Closed,Closed,4 pm–12 am,4 pm–12 am,4 pm–1 am,4 pm–1 am
Baladas SP,ChIJy-kjsEf2zpQRzDhKn8J_iGs,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed
BECO XX,ChIJXYUtQ6pXzpQRq5z7M3skhRc,,,,,,,
Balada Animada - Serviço de Recreação e Dj para Festas e Eventos,ChIJsXYNnbn4zpQRc-Z1nEHTYKY,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Tonton Jazz & Music Bar - Pub em Moema,ChIJdTB0nQlazpQRshY29X8OS00,7 pm–12 am,Closed,7 pm–12 am,7 pm–12 am,7 pm–1 am,7 pm–2 am,7 pm–2 am
Graffiti Videoke Bar,ChIJM9YafExYzpQROtOq0wvpFaw,4–11 pm,Closed,Closed,5–11 pm,7 pm–4 am,7 pm–4 am,7 pm–4 am
Bar e Lanchonete MK,ChIJMdl8jq1EzpQR2h0SmlrMomE,6 PM–12:30 AM,Closed,Closed,Closed,Closed,9 PM–3 AM,9 PM–3 AM
Casa Híbrida,ChIJXb-R75RXzpQRXn35q6fNgBE,12–8 PM,Closed,Closed,Closed,Closed,4 PM–12 AM,12–10 PM
Fabrique Club,ChIJy9Vvmg9YzpQRDGrFwQwobPo,,,,,,,
Lola Bar,ChIJQcHsYBVZzpQR3vt6GRe-Sew,3–10 PM,Closed,Closed,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM
Lapeju,ChIJjUVtrzRYzpQRkWF61KLipPU,6 PM–2 AM,Closed,Closed,Closed,8 PM–3 AM,8 PM–6 AM,8 PM–6 AM
Bar Amigos do Zé,ChIJww3f9EtYzpQR8I9fYrZ_q3k,4 PM–12 AM,Closed,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM,4 PM–1 AM
Casa do Baixo Augusta,ChIJKeDsTUlYzpQRFqdycVJcYgc,Closed,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,10 AM–6 PM,Closed
380,ChIJ-w2Y8nhZzpQRog3UjnVSbV8,,,,,,,
Boteco Pratododia,ChIJv7noHRVYzpQRNyXZKARsPS0,Closed,Closed,Closed,Closed,10 PM–3 AM,11 PM–3 AM,11 PM–3 AM
Santa Cana,ChIJl0BEJrL3zpQRLl_RGumTKyc,12–11 PM,12–11:30 PM,4–11 PM,4–11 PM,4–11 PM,4 PM–12 AM,12 PM–12 AM
Start Lounge,ChIJCxCekuX3zpQRSMB181TMXqU,10 PM–5 AM,Closed,Closed,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM
Oh Freguês,ChIJAbS_yE_4zpQRmCkr3mognyI,12 PM–3 AM,Closed,Closed,Closed,Closed,6 PM–3 AM,12 PM–3 AM
Bourbon Street Music Club,ChIJS4XuOgpazpQR84vpvrjCwkM,12 PM–2 AM,Closed,8 PM–2 AM,7 PM–2 AM,7 PM–2 AM,7 PM–2 AM,12 PM–2 AM
Hope Lounge Bar,ChIJtZGtNM33zpQRiuF4UYVq0D8,Closed,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,8 AM–2 PM,Closed
North Beer,ChIJLV_xVRb2zpQR19qsItE6bgk,11:45 AM–10 PM,3:45 PM–12 AM,3:45 PM–12 AM,3:45 PM–12 AM,3:45 PM–12:30 AM,3:45 PM–1:30 AM,11:45 AM–1:30 AM
Villa Caetano's Bar,ChIJfxo8k6j3zpQRgpRzve5il5k,11:30 AM–11 PM,Closed,11:30 AM–12 AM,11:30 AM–12 AM,11:30 AM–12 AM,11:30 AM–1 AM,11:30 AM–1 AM
Famoso Bar do Justo,ChIJCVlznCn2zpQRYFHFVczaPRk,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM
Rufu's Bar,ChIJd96F8xb2zpQRCOeEwVzaR0M,3 PM–1 AM,Closed,4 PM–1 AM,4 PM–1 AM,4 PM–1 AM,4 PM–1 AM,4 PM–1 AM
Caetano's Bar,ChIJm57FD7H3zpQRfkel9qMKcCk,12–11 PM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,Closed,12 PM–1 AM
Santo Cupido,ChIJZZ50b6pXzpQRWdUdsBdGnf8,5 PM–2 AM,Closed,Closed,5 PM–2 AM,5 PM–2 AM,5 PM–2 AM,2 PM–2 AM
Litoral Norte Bar,ChIJvRLQwMf3zpQRJg_DbCf1_D0,2 PM–12 AM,Closed,Closed,Closed,Closed,5 PM–12 AM,2 PM–12 AM
Coração Sertanejo,ChIJoUkRrUFFzpQRmx1MgUceWaY,Closed,10 PM–5 AM,Closed,Closed,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM
Adega Original,ChIJoxJ-7yH2zpQRE2i5njHMWcM,1 PM–12 AM,Closed,5 PM–1:30 AM,5 PM–3 AM,5 PM–3 AM,5 PM–3 AM,12 PM–4 AM
Gaz Burning Bar,ChIJtdW_Z_P5zpQRneEmQPB1AEA,2–9 PM,Closed,Closed,5–11 PM,5–11 PM,5 PM–1 AM,1 PM–12 AM
ZN Highway,ChIJvzHu_jH3zpQRj2R-LuUbWdM,10 AM–10 PM,Closed,Closed,5 PM–12 AM,5 PM–12 AM,12 PM–12 AM,10 AM–12 AM
Mahau Bar,ChIJH8ElvURXzpQRBi10B6T-p-4,4 PM–5 AM,Closed,Closed,Closed,6 PM–3 AM,6 PM–5 AM,4 PM–5 AM
Loirassa Bar,ChIJZ97_Zhj2zpQRV2t8phj9suM,12 PM–12 AM,4–11 PM,4 PM–12 AM,4 PM–1 AM,4 PM–1 AM,4 PM–2 AM,12 PM–2 AM
Bar Samba,ChIJrzHL5pdXzpQRYd-xdq38xY8,3–10 PM,Closed,Closed,Closed,7 PM–1 AM,7 PM–2 AM,1–7 PM
Prosa270 - Home Bar,ChIJzVn0ErZXzpQR3yMiam1fcPc,5 PM–1 AM,Closed,Closed,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM,5 PM–1 AM
Casa Sements,ChIJPzAUQrBXzpQRat90sdTbhUo,4–11:58 PM,Closed,Closed,Closed,4:20–11:58 PM,4–11:58 PM,4–11:58 PM
"Discolbus, Bus Ballad",ChIJF5tP5aNNzpQRJJY-BOPkiWI,Closed,9 AM–7 PM,9 AM–7 PM,9 AM–7 PM,9 AM–7 PM,9 AM–7 PM,9 AM–7 PM
Tequila's Karaokê,ChIJc315zqdZzpQRbyumcRTVVT4,Closed,7 PM–2 AM,7 PM–2 AM,7 PM–2 AM,7 PM–2 AM,7 PM–4 AM,7 PM–4 AM
Sacha Bar,ChIJyUbFYpZXzpQRcx9WvKgaxms,12–11 PM,12–6 PM,12–11 PM,12–11 PM,12–11 PM,12 PM–12 AM,12–11 PM
Yes Brasil Pub,ChIJPfkBDbH3zpQRpqtHkmdWf-g,Closed,Closed,Closed,10 PM–5 AM,Closed,Closed,10 PM–5 AM
Félix Noite Clube Danceteria,ChIJy5jYK3r3zpQRlaACQkVcVGQ,,,,,,,
Horabolla's Bar,ChIJwR-XGtP3zpQRpWyxbhk3q2w,Closed,Closed,Closed,Closed,Closed,Closed,11 PM–5 AM
Coração Brasileiro - São Paulo,ChIJ57AjH6tYzpQRHuII8-0PaTE,Closed,Closed,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM
LayBack Park São Paulo,ChIJI-TrGrdXzpQR0dn-Ads5yrk,12–11 PM,Closed,12–11 PM,12–11 PM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM
Atlética Bar da Nil,ChIJ1ziIjZlZzpQRcSM7lz67vr8,Closed,4 PM–1 AM,4 PM–1 AM,4 PM–2 AM,4 PM–3 AM,4 PM–5 AM,4 PM–3 AM
RANDOM cosharing,ChIJc95wb05YzpQRD94T_qotHVU,Closed,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM,10 AM–10 PM
The Cave Bar,ChIJDz51Ek1YzpQRF9O1xY13kdE,Closed,6 PM–2 AM,6 PM–4 AM,6 PM–4 AM,6 PM–5 AM,6 PM–5 AM,10 PM–5 AM
JailHouse,ChIJUxOLw91ezpQR3b_7UvaKKhg,4–10 PM,Closed,Closed,7 PM–12 AM,7 PM–12 AM,7 PM–12 AM,7 PM–12 AM
North Zone of São Paulo,ChIJkff3-dX5zpQR4WFQRPam3e4,,,,,,,
Alley Club,ChIJ7xNj0g9YzpQRLHHvlQAA5rM,Closed,Closed,Closed,Closed,Closed,11:30 PM–6 AM,11:30 PM–6 AM
Funhouse,ChIJRei-rzNYzpQR7g3oARhbFJ0,Closed,Closed,Closed,Closed,11 PM–5 AM,8 PM–5 AM,8 PM–5 AM
Supra Bar - Methodist,ChIJDSgvQEdDzpQR958Naj2I1es,Closed,Closed,5–11 PM,5–11 PM,5–11 PM,5–11 PM,4–11 PM
Supra Bar Dom Pedro - Santo André,ChIJ7V8pA8FCzpQRQBeZD_ydqAw,3 PM–1 AM,Closed,Closed,5 PM–1 AM,5 PM–1 AM,6 PM–3 AM,4 PM–3 AM
Brasuca,ChIJhyU-J83GyJQRNDau42ZgKoY,6 PM–12 AM,Closed,Closed,Closed,Closed,9 PM–3 AM,9 PM–3 AM
Nerdssauros,ChIJy7Lr3mj4zpQRNaSHcsdnNZo,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Sorveteria Casteluche,ChIJU066DixizpQRNeO2iZs8CZo,7 AM–6 PM,7 AM–6 PM,7 AM–6 PM,7 AM–6 PM,7 AM–6 PM,7 AM–6 PM,7 AM–6 PM
A ALTERNATIVA - ASSOCIAÇÃO DE ASSISTÊNCIA AO EXCEPCIONAL,ChIJUy7ATJdQzpQRkVX41Ra6TPw,Closed,9 AM–5 PM,9 AM–5 PM,9 AM–5 PM,9 AM–5 PM,9 AM–5 PM,Closed
Red Light Duplex,ChIJe4SbmH5CzpQRranNJtPVydw,4–10 PM,Closed,Closed,Closed,6–11 PM,6 PM–12 AM,6 PM–12 AM
Free Club Bar,ChIJyw_h2bTIyJQRkDk_If7H2oc,7 PM–1 AM,Closed,Closed,Closed,Closed,10 PM–5 AM,Closed
Alternativa Elevadores,ChIJI9ApILZVzpQRi0iZJuT0btA,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Quiropraxia Zona Norte - Coluna Ajustada Tucuruvi,ChIJ9YR2V7j3zpQR0wyUNnW4Tio,Closed,8 AM–7 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–8 PM,8 AM–12 PM
Cult Station pub,ChIJZfLsFd5DzpQRLSIiVz13HpU,Closed,Closed,Closed,Closed,Closed,9 PM–3 AM,9 PM–3 AM
Started Bar Santos,ChIJRRrdnMMDzpQRcSVjDa-3MCQ,7 PM–1 AM,Closed,Closed,9 PM–2 AM,9 PM–2 AM,9 PM–6 AM,9 PM–6 AM
Limelight,ChIJh-iVAUlXzpQRb4XlmQ7yd_0,Closed,Closed,Closed,Closed,Closed,10 PM–4 AM,10 PM–4 AM
Lab Club,ChIJAZtSh0pYzpQRCNKPJvOhjmk,Closed,Closed,10 PM–5 AM,Closed,8 PM–5 AM,10 PM–5 AM,10 PM–5 AM
Döha Club,ChIJ_U37Cz9RzpQRU0MO2qI-Igo,Closed,Closed,11 PM–5 AM,Closed,Closed,10 PM–5 AM,10 PM–5 AM
Galpão RC,ChIJkfsLG35RzpQRA0gs1FeCZ84,9 PM–5 AM,Closed,Closed,Closed,9 PM–4 AM,9 PM–5 AM,9 PM–5 AM
Club Jerome,ChIJgdCluzFYzpQRFIhV4AC9www,Closed,Closed,Closed,11 PM–5 AM,11 PM–5 AM,11 PM–5 AM,11 PM–5 AM
OpenBar Club,ChIJr8ftFptXzpQR9dJWzvnJHSQ,Closed,Closed,Closed,Closed,Closed,Closed,1–10 PM
Willi Willie Bar e Arquería,ChIJUVV_dglazpQRGvnO2z1OrPA,7 PM–1 AM,Closed,Closed,7 PM–1 AM,7 PM–1 AM,7 PM–4 AM,7 PM–4 AM
Villa Carioca Interlagos,ChIJ4W1DqDZOzpQR3jxDY1uceLc,Closed,Closed,Closed,Closed,Closed,11 PM–5 AM,1 PM–5 AM
New Rainbow Rock Bar e Hamburgueria,ChIJLdZJOu5azpQRCX0RzA8Wrno,2–11 PM,11 AM–4 PM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM
Sharks Surf Bar - Cervejas - Musica - Porções,ChIJgRLrmrBPzpQRFhUlzwL2OpA,Closed,9 AM–1 AM,9 AM–1 AM,9 AM–1 AM,9 AM–1 AM,9 AM–1 AM,9 AM–1 AM
Tree house -,ChIJrcSOEED5zpQRUVc-8Ke54qU,4 PM–12 AM,Closed,Closed,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM,4 PM–12 AM
Baron Rock Bar,ChIJcUIMhpZZzpQR5oV5r4bSAcY,3 PM–12 AM,Closed,5:30 PM–12 AM,5:30 PM–12 AM,6 PM–1 AM,6 PM–2 AM,6 PM–3 AM
Trabuca JK,ChIJtZIQUURXzpQRHN2waufmTUQ,Closed,Closed,Closed,6 PM–2:30 AM,6 PM–2:30 AM,6 PM–3:30 AM,6 PM–3:30 AM
Bar Santa Júlia,ChIJW_Vn5EdXzpQRAfMBqndntyc,Closed,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,1 PM–1 AM
Bar Veloso,ChIJ9e0c7IBZzpQRt0BdDRjIZ_U,3–10 PM,Closed,5–11:30 PM,5–11:30 PM,5–11:30 PM,5–11:45 PM,3–11:45 PM
Vilarejo Bar & Restaurante,ChIJ69QuKOFNzpQRw4n71Npjlck,12–9 PM,12–5 PM,12–9 PM,12–10 PM,12–10 PM,12 PM–1 AM,12 PM–1 AM
Zeca Ora Bar,ChIJyc7j7V1BzpQRBlwfIUFRI8M,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–1 AM,11 AM–2 AM
Tetto Rooftop Lounge,ChIJI4MSD4BXzpQROSvzseBewQY,Closed,Closed,Closed,7 PM–2 AM,7 PM–2 AM,7 PM–2 AM,7 PM–2 AM
Deck Bar Sp,ChIJ9zdAQjFOzpQRb37KpGT3_Io,1 PM–3 AM,Closed,Closed,Closed,Closed,8 PM–4 AM,12 PM–5 AM
Benê Bar,ChIJO_kFkaNXzpQRzp8JizGe20Y,Closed,Closed,6 PM–12 AM,6 PM–12 AM,7 PM–1 AM,7 PM–1 AM,3 PM–1 AM
Evolution lounge bar,ChIJPbSGFbRTzpQRYFALec6kx2I,,,,,,,
Lar Mar,ChIJ1xnNDoNXzpQRnJh7MBcE84U,2–10 PM,Closed,Closed,Closed,6 PM–12 AM,6 PM–12 AM,2 PM–12 AM
1007 Rua Augusta,ChIJyY0yYEpYzpQR23N4zVUDtnI,,,,,,,
BAR MAMADI FOOD,ChIJYxLfYc1ZzpQRbPcE1AxgMTE,4:20 PM–12:55 AM,Closed,4:20 PM–12:55 AM,4:20 PM–12:55 AM,4:20 PM–12:55 AM,4:20 PM–12:55 AM,4:20 PM–12:55 AM
Vareda Bar,ChIJ3T_PqFhPzpQRIE3RlZREE8I,2–11 PM,Closed,Closed,6 PM–12 AM,6 PM–12 AM,8 PM–4 AM,7 PM–4 AM
Goela Bar,ChIJuzoIA5lXzpQRKAQ-395eHHM,Closed,Closed,Closed,6 PM–1 AM,6 PM–1 AM,6 PM–1 AM,2 PM–1 AM
Bar do Luiz Nozoie,ChIJfWt6CKRbzpQRQYMuX4GlswI,Closed,5:30–10 PM,5:30–10 PM,5:30–10 PM,5:30–10 PM,5:30–10 PM,12–5 PM
PORTA,ChIJRU6Jl6FXzpQRd2Q2w7a_zsw,Closed,Closed,Closed,Closed,Closed,6 PM–12 AM,6 PM–12 AM
Pagode da 27,ChIJVdg8TEZPzpQRL891QcH55vs,5–9:30 PM,Closed,Closed,Closed,Closed,Closed,Closed
Bar dos Arcos,ChIJYw1mDXhZzpQRnQ9G3G5IEGo,Closed,Closed,6 PM–1 AM,6 PM–1 AM,6 PM–2 AM,6 PM–2 AM,6 PM–3 AM
Riviera Bar,ChIJN_LQqy1YzpQR3mFpG_XHWDs,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Bar das Batidas C do Padre,ChIJM5bR4qZXzpQRq4wbXgRa-lg,3 PM–1 AM,11 AM–12 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM
Rei das Batidas,ChIJZzTGTKpXzpQRrYObKU5heVI,10:30 AM–12 AM,10:30 AM–12 AM,10:30 AM–12 AM,10:30 AM–1 AM,10:30 AM–2 AM,10:30 AM–3:30 AM,10:30 AM–3:30 AM
Bar Balada: Home,ChIJs_8G-kpYzpQRHdYefz0VAwk,6 pm–12 am,Closed,Closed,7 pm–12 am,7 pm–12:30 am,7:30 pm–3 am,7:30 pm–3:30 am
Eazy Club,ChIJ44NiswX4zpQRUlzZwBPNMfE,12–6 am,11 pm–6 am,Closed,Closed,Closed,Closed,Closed
Executivo Club,ChIJfYNXNk5YzpQRfCgYU84hdJo,5 am–2 pm,5 am–2 pm,Closed,Closed,5 am–2 pm,5 am–2 pm,12–8 am
Sabbadá Music Bar,ChIJYU62eYdmzpQRQnz4QgMv5FM,Closed,Closed,Closed,Closed,10 pm–5 am,10 pm–5 am,10 pm–5 am
Lotus Club,ChIJR_jeqaxXzpQRDiMrINmC-Og,Closed,Closed,Closed,8 pm–3 am,8 pm–3 am,9 pm–3 am,9 pm–3 am
ENIGMA CLUB - Casa de Swing e Balada Liberal Com Navio,ChIJfW7HbQ1azpQRSmrsCR0MLVw,Closed,Closed,10 pm–6 am,Closed,10 pm–6 am,10 pm–6 am,10 pm–6 am
Terraço do Leo,ChIJiZjVrjRYzpQRFcbI-EjxCaw,Closed,Closed,Closed,Closed,7 AM–5 AM,7 PM–4:30 AM,7 PM–4:30 AM
CCPC General Club,ChIJaZLfxEhYzpQRyr_VFyql9k4,Closed,Closed,7:30–11:30 PM,Closed,7:30–11:30 PM,10 PM–5 AM,10 PM–5 AM
Cats Music,ChIJg4_bYoMEzpQR7vOdKQ89HdI,12 PM–4 AM,Closed,Closed,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM
Rancho Sertanejo,ChIJK007m49fzpQRXOiC6sgLNtU,Closed,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM
Hypnosis Club,ChIJXznidYMEzpQRJ6ZN9X1K5lc,Closed,12–4:30 AM,Closed,Closed,Closed,12–4:30 AM,12–4:30 AM
Casarão Augusta,ChIJUTfoADVYzpQRRNM5IJVZ8OY,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–6 AM
Haus Club,ChIJyVzd4CTR7JQRpMDHOn9L7E0,Closed,Closed,Closed,Closed,Closed,11 PM–4:30 AM,11 PM–5:30 AM
Zelt Club,ChIJT5tlo3gvz5QRgcKzg997tQE,,,,,,,
Distrito 1340,ChIJz7UZ7cDj3JQRfJrz_9AyiwQ,12 PM–12 AM,10 AM–6 PM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,10 AM–12 AM,9 AM–12 AM
La Esquina,ChIJB02F5mR_mQAR03T_xSnK7EA,10 PM–5 AM,Closed,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM,10 PM–5 AM
Carioca Club,ChIJW1WDUadXzpQRn1SJyKW2NQY,Closed,1–5 PM,1–5 PM,1–5 PM,1–5 PM,1–5 PM,1–5 PM
NOLA BAR,ChIJAXj8ML1XzpQRxaXdbeA6Lz8,Closed,Closed,Closed,Closed,Closed,9 PM–6 AM,9 PM–6 AM
Vitto Bar,ChIJfV821Q_k3JQR1kx_9tjVhps,Closed,Closed,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM
Skorpios,ChIJD79Xe0xYzpQRP2ZCHgopSN8,6 PM–2 AM,Closed,6 PM–6 AM,6 PM–6 AM,6 PM–6 AM,6 PM–6 AM,6 PM–6 AM
Paca 333,ChIJfbx6rxVDzpQRrjhqrIxQf-8,Open 24 hours,7 PM–12:30 AM,Closed,Closed,Closed,Open 24 hours,Open 24 hours
ARENA SHOW SP,ChIJoWdhPxdZzpQRoVpWUPOz8NM,10 PM–5 AM,10 PM–5 AM,Closed,Closed,Closed,10 PM–5 AM,10 PM–5 AM
Habbitat,ChIJc1yvVJ3J2JQR4wl05HtHbxk,12 PM–3 AM,Closed,Closed,6 PM–4 AM,6 PM–4 AM,6 PM–4 AM,6 PM–4 AM
LUXE Campinas,ChIJVVUhr0_PyJQRB-f5LVn7AGc,7 PM–3 AM,Closed,7 PM–3 AM,7 PM–3 AM,7 PM–3 AM,7 PM–3 AM,6 PM–3 AM
Balada TOP NIGHT,ChIJi8ChnyLfxpQRQOzH2E6u34E,,,,,,,
All In,ChIJaYLfFbnQmwARrgot5N4aHy0,Closed,Closed,Closed,Closed,8 PM–5 AM,8 PM–5 AM,10 PM–5 AM
Connection Night Club,ChIJez-AX9FdzpQReuwLPa_nfQQ,Closed,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM
Boate Kalabria,ChIJZ83oRFXVmwARuO0WKfgfPSk,10:30 PM–7 AM,10:30 PM–7 AM,10:30 PM–7 AM,10:30 PM–7 AM,10:30 PM–7 AM,10:30 PM–7 AM,10:30 PM–7 AM
Bomboa 222,ChIJFSzMvFxXzpQRvS4288Kdsnw,Closed,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,2 PM–4 AM,6 PM–4 AM
Vitrinni Lounge Beer,ChIJ5U4XosfQmwARL_2oNSQ-5Eg,5 PM–3 AM,Closed,Closed,Closed,10 PM–5 AM,10 PM–6 AM,10 PM–6 AM
Scandallo Lounge,ChIJmzOy5GFZzpQRd9u-FaBaWlA,Closed,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM
BOOXBAR_RIO,ChIJ7dJ6MyvVmwARZC1ErYSfJaI,Closed,Closed,Closed,Closed,6 PM–1 AM,6 PM–2 AM,2 PM–2 AM
Azucar Club Cubano,ChIJXTyxEGpXzpQRWb43wJ3Ieos,3–10 PM,Closed,Closed,7 PM–4 AM,7 PM–4 AM,7 PM–4 AM,7 PM–4 AM
Guten Bier,ChIJty57lA1KzJQR89lSynAFd-Y,12–6 PM,Closed,Closed,Closed,7 PM–5 AM,7 PM–12 AM,12 PM–5 AM
Blue Note São Paulo,ChIJT0fC-CVZzpQRJi4LDrvo3Ps,10 AM–5 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,10 AM–3 PM
Griffin Club,ChIJM6as2SK32JQRTD9fFiY37TE,Closed,Closed,Closed,10 PM–4 AM,Closed,10 PM–5 AM,10 PM–5 AM
Chess Pub,ChIJNwlphqCyvZQRSYbVg7_LZR0,Closed,Closed,Closed,Closed,Closed,9:30 PM–4 AM,9:30 PM–4 AM
Santa Adélia - Bar e Balada,ChIJ8eMVrY4NxpQR9lde5tbpPQc,7 PM–2 AM,Closed,Closed,Closed,Open 24 hours,Open 24 hours,7 PM–2 AM
Green Valley,ChIJbUMuLrW12JQRYBsstLR8HYY,,,,,,,
Banana Brasil,ChIJ5801ty1xuJQRyzNrVi1yoeU,Closed,Closed,10 AM–12 PM,10 AM–12 PM,10 AM–12 PM,10 AM–12 PM,10 AM–6 PM
Front Club,ChIJbcHWb4L9nwARUtQq8ik_Ck8,,,,,,,
Clube Chalezinho,ChIJIQQx5eeWpgARjQkspqYs58k,5 PM–5 AM,Closed,Closed,Closed,9 PM–6 AM,10 PM–5 AM,10 PM–6 AM
Yndú Beach Lounge - Barra Tijuca,ChIJjQeWYEvUmwARCi_4r7b4X2E,10 AM–9 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,10 AM–9 PM,10 AM–9 PM
Church Savassi,ChIJ3bhXYy2ZpgARTjALdXQkIno,9 PM–3 AM,Closed,Closed,11 PM–3 AM,11 PM–3 AM,11 PM–5 AM,11 PM–5 AM
Yellow K,ChIJtUjXXENXzpQRq0mwVfntE28,Closed,Closed,6 PM–2:30 AM,6 PM–2:30 AM,6 PM–2:30 AM,6 PM–3:30 AM,8 PM–3:30 AM
Sutton Restaurant & Club,ChIJNUpO71FXzpQRZjxngXkZ9pQ,Closed,Closed,Closed,Closed,Closed,9 PM–4 AM,9 PM–4 AM
Zoox Club,ChIJNc8bMoT2mAARIFWrRL8_bio,Closed,Closed,Closed,Closed,Closed,12–5 AM,12–5 AM
Espaço Leste,ChIJ13DPd5FnzpQRLyBBtKondd0,Closed,Closed,Closed,Closed,Closed,8 PM–5 AM,8 PM–5 AM
Tróia Bar Lounge Roof Top,ChIJVZ2VGrcElwARd0jIBQgeCm8,11 AM–12 AM,11 AM–2 AM,11 AM–2 AM,11 AM–2 AM,11 AM–2 AM,11 AM–5 AM,11 AM–5 AM
Cinza General Store,ChIJqa1i-gQDzpQRFe3RqdYEWvA,6 PM–1 AM,Closed,Closed,Closed,6 PM–1 AM,7 PM–2 AM,7 PM–2 AM
BC Club,ChIJ2wJwVVlXzpQRcHmOg7vppUY,,,,,,,
Toca do Tatu,ChIJIwYU-kdXzpQRkAuRCjcLM3Q,Closed,10 AM–7 PM,10 AM–7 PM,10 AM–7 PM,10 AM–7 PM,11 PM–6 AM,11 PM–6 AM
Projeto Autobahn,ChIJEWU9uJxXzpQRPhFniSXqeBE,Closed,Closed,Closed,Closed,Closed,Closed,10 PM–5 AM
Vitrini Show,ChIJF3cinqRgzpQRMcFwluAfErE,Closed,12–3 AM,Closed,Closed,Closed,Closed,12–5 AM
