Nome,ID,Cluster,NotaMedia,QntdAvaliaçoes,FaixaPreço,Categoria,Thumbnail
Restaurante & Cervejaria Urbano's,ChIJ-YH8OD-VpgAR90cCB_MtKWw,7,"4,4",3825,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipPdxGaOnZiXL_iL_UHWAtWN9-ztsSmw3pKNwa4t=w92-h92-k-no
Ripito,ChIJlU0P1eFXzpQRmBB7JycdaS0,4,"4,8",101,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOdvHbt5gJ3p7r00sbsRgDGIx_rvM6vpk6T4V2C=w92-h92-k-no
"Bar e Restaurante do Zé - Almoço, lanches e salgados.",ChIJYfVR4q5DzpQRjldVrVqANx8,12,"4,5",437,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipPU-jScKdVAjaHYtl9u2Hop6d4v3H9guHqtLcAT=w91-h92-k-no
Quinta da Canta,ChIJI4UI6ErwzpQR2jnYNoniTWI,3,"4,7",108,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipOiA_3QF52JrXbiD4k0rYwkfAhKREtAptU8Y10l=w80-h106-k-no
Villa Dos Sabores,ChIJFxNU0IZZzpQR49BAjns6ZBU,0,"4,4",405,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPU2iTdP4E5RVj3kcbyVRd0rcUYdikWyyrs3Ohc=w122-h92-k-no
Restaurante Os Barreto,ChIJz0I8YWkfzpQRLNGCHFYeJ0k,9,"4,5",670,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPepiM0mr-WqceGPJxEe2p3tnUCsvBbbdMrDUZi=w91-h92-k-no
Dona Ju Restaurante,ChIJtQZkg3BWzpQRkq2tRxqTX6M,15,"4,1",515,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipO3tnWgO5qApiJg_17vYAOw-qGUXJrdbrNb1zHg=w122-h92-k-no
Bam food almoço e Marmitex delivery somente pelo ifood,ChIJTUgua3pxVwERdY5FAjUf158,7,"4,4",28,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipPLLh_qAQ0Xht_vcU7EUZJ4wbfkVUaDW32iIJMd=w163-h92-k-no
Restaurante Mister Chef Almoço E Marmitex,ChIJkygLLsHmzpQRqHanmJ8HlfY,9,"4,7",16,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOKm8R9o1Y7Ei7M-3Ia-_fThMkA0o7D2880acD2=w82-h92-k-no
Cór,ChIJq1cGjSxWzpQRqNuO9_rieo4,2,"4,4",1140,2,restaurant,https://lh5.googleusercontent.com/p/AF1QipPbqqbhZs-IwLtZ40KNy1uodS-YR9tqdfdmSe4k=w80-h106-k-no
Farfalla Restaurante e Pizzaria - Jardins,ChIJi31f_9pZzpQRLuEytX9Uq7o,8,"4,5",604,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipMUh2CiCx3YjfN_O7UZhkLzVgo5xoTKzUeMRexw=w122-h92-k-no
Almoço Por Kilo,ChIJc316FAdYzpQRPaRlbHRhKWA,1,"3,9",16,5,buffet restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eZorVYKPzHOcxoqPtqjIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=10.641345&pitch=0&thumbfov=100
Restaurante e Pizzaria Santa Rita,ChIJ1T9G27EDzpQRvzc0iNV1YMs,1,"4,6",2596,1,pizza restaurant,https://lh5.googleusercontent.com/p/AF1QipP4-Zy2DAlYkw7yyyy8LTMxFd8GASe3a0IGH0ZU=w122-h92-k-no
Ôchopp - Almoço e Happy Hour,ChIJVz438PpazpQRtawF8m-OgX4,0,"4,3",1656,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipN-LzAcdaFhKGiTq-ifWz5dfVfcYsprLR8NCCtw=w122-h92-k-no
Restaurante Mari Mariá,ChIJ_w4v8VRYzpQRgI85TJUcStk,12,"4,3",895,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipOOqgRF05f-1Ur96d_yV0_SXKk70DClnJAZmYil=w80-h106-k-no
Pratos Tipicos do Brasil,ChIJs2-yL2NnzpQRMLioobsX5vo,10,"4,7",17,5,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPaie4ALr-5o4JcIL8JqK6APM2E5ohiNCz8JqjR=w92-h92-k-no
Julieta Restaurante,ChIJU2L0_CeAmQARO9eDslr1KZY,4,"4,7",2065,2,restaurant,https://lh5.googleusercontent.com/p/AF1QipMeZtnP4aqVY88pwd04ffmMxgEcbqVLQYmjwosR=w80-h106-k-no
Desejo de Café,ChIJgZKK_Z1QzpQRAyss_2bhefo,8,"4,6",718,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNDIH_Ma_jnOaIAbKw5NIUOPMPMUIjBlE62zueR=w122-h92-k-no
Cantinho da Cecília,ChIJ2RJETEdYzpQRPAQA0rUzgsM,7,"4,3",2682,1,pizza restaurant,https://lh5.googleusercontent.com/p/AF1QipOZFaOB5_h6xqG1UXKFJYf0N-a2flKWhReGlP4F=w122-h92-k-no
Cantinho Da Val Lanches & Almoço,ChIJU85wPq7-zpQRAz13sT3bkXw,3,4,2,5,restaurant,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDScrBviZ3gtKHfShrxxWQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.23515&pitch=0&thumbfov=100
Abbraccio Cucina Italiana,ChIJly3wj0hXzpQRuUtgMoo298A,2,"4,5",2700,2,italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPH8hKSVDVTVK0V0i6yrUhdeZamvgy3SwMs5UI=w122-h92-k-no
Restaurante da Cuca,ChIJq9ukJ6RZzpQRaysBdwigZUM,10,"4,1",19,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipODKBmRDZ36oqVrCpD2uQUumpn4dXTBkXd4X6Ug=w80-h122-k-no
Violeta Bar e Restaurante,ChIJlTfyNjNYzpQR-GqbbXf3QLc,7,"4,3",7972,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipOXT_iSD0Ph18syP7toX4c1rURUIzqsBTPqkQo=w80-h106-k-no
Almoço e Feijoada da Mama,ChIJ_VPJGbxTzpQRKc397kmaRPc,12,"4,2",19,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNakiULdNUXv6HZ5sPuu9Wh50jIYyOT6AJcQK97=w122-h92-k-no
C&A Café E Almoço,ChIJjbffWgRGzpQRf2F0o_XBXwM,11,"4,1",12,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipMAdQspCfZBBzE06dWMeFkRpsE4zUvjItgcrBYH=w163-h92-k-no
Lanchonete Anchieta,ChIJHwiD1VBYzpQRl1Hj2kZBJu0,6,"4,3",1068,1,bar,https://lh5.googleusercontent.com/p/AF1QipOnm83DaGNwDZjgBxrPlzQHiaC37DvHK3iOdA88=w122-h92-k-no
Restaurante Famiglia Di Nóca,ChIJ7Ye24uRXzpQRU9LExQl_5GM,15,"4,6",524,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNyFD5Bif5t46wNrMHFW6Fa06VcRcJEC9LM9vQE=w82-h92-k-no
Restaurante São Rafael,ChIJ2Tf8UrEdzpQRPHW2oHflQSU,2,"4,5",1078,1,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipOwcXRd6M5MKivYzQAIGZCVmM5uZHUcUC855k3M=w143-h92-k-no
Petí Gastronomia,ChIJJbZy-eJXzpQRTboswSgLJX0,15,"4,6",617,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNYRSCzqjnJaFzUI5J-FTf9YcIkdOOOfW_I7AXL=w194-h92-k-no
Restaurante Bom D+,ChIJ0xa4iOABzpQRcVhyBrab-E8,7,"4,4",81,5,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPS1lbDHj6M6xcdl-RF-rxuNMGVU9iBNHbTNLQP=w163-h92-k-no
Restaurante Tia Tande,ChIJY5jcW75YzpQRnb6aE8ef-9w,14,"4,4",114,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPcwNvPZZOBzzXKGpMwp3HsN8oWu6m1CicIBIGH=w122-h92-k-no
Bom Gosto Restaurante (Paulista),ChIJYXmo1MdZzpQRLxnXxWeaLiI,12,"4,4",218,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipMVi65MoPOclCRigThLnmWch3jK4htiBaBpFBBE=w122-h92-k-no
Restaurante Bom Petisco,ChIJfcuJXcqJzJQRZwO96jHpdhk,7,"4,2",630,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipOcEsHy3tjHPXTKCHGC6Xr9aZq8H_XmuPqSQJsC=w122-h92-k-no
Restaurante Sr. dos Pratos,ChIJaW0BBQBRzpQRyvVRhbngUtk,7,"4,3",169,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipNbsYJsPRz0tZLP4yGUuXcXRe38gFCLSAGXcpT0=w80-h142-k-no
Cacerola,ChIJ5XwKfcmJzJQRRlsb_-K8VQ0,11,"4,5",1294,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipOB2x6osMS1NaivUSHMwmp_fJwoLMulARILqh36=w122-h92-k-no
Restaurante Saída 26,ChIJk75Rn88Dz5QRUmmqbXtg4Ug,4,"4,4",311,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPSb3RLTfndV5ek62K4_pMspvDq6HI1Y9puAzAK=w80-h106-k-no
Restaurante Puro Sabor de Ipanema,ChIJOWpmNwXVmwARAerbOcgrZLE,5,"4,4",77,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipO3XXrKDe0RpGcpltyyTeEGFTl5YU5SR_U1PxYt=w80-h106-k-no
Fitó,ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,2,"4,5",2476,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipO6o8TVAA-itCvkBPl-xE0P_EFJ8cuZNU4p4JCF=w80-h106-k-no
Tempero Manero,ChIJzXOTr3F6zpQREonFacwk8sg,14,"4,4",1740,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipM672IO211CsqrAZCu043A5RXgc9_CDrHi-lFYb=w122-h92-k-no
Talheres Restaurante Self-Service,ChIJGwycOXNXzpQR_DOWfX0PAfk,13,"4,2",26,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipNLgk3ywj9cnO6U6KRTVL7EJnOgZPlfmHqnh5y1=w122-h92-k-no
Bom de Minas Restaurante,ChIJWwr1weBQzpQRRbgL43Cbh5I,0,"4,2",998,1,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipPb_W-zRUxLehrcpk9-F0Q7x3QynAiD6c_7ShAi=w122-h92-k-no
Restaurante Pais & Filhos,ChIJT2hqm6NXzpQRrtvbTCDo_OM,6,"4,4",147,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipNPZqX-tyom37VQv3-BpxJ3DVfR7Ki5adFpVDX1=w80-h106-k-no
Restaurante Diniz,ChIJl5gYIPofzpQRHYBK-sTjfIA,12,"4,8",41,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipO1fqe-Uy9RpN3VZf1jPnS5TQJneYI5fFp6RMbq=w80-h106-k-no
Restaurante Bom de Garfo,ChIJ5y4kLmwDzpQRmWL0QjyMpWA,5,"4,4",132,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipO54A0P0AIsNtnaSkslogB8DaTJEevMc2cVZDcl=w80-h142-k-no
Restaurante & grill Per Tutti,ChIJCSATGsUY35QRfKsA2-RcpDM,13,"4,7",1220,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipP3Ns-NvNx5-uUfSZGAEQ7aA-6huDjOgDhZmuvI=w138-h92-k-no
Cantina Gigio,ChIJA106w3dXzpQR8LrzPvJJyNg,3,"4,6",7565,1,italian restaurant,https://lh5.googleusercontent.com/p/AF1QipPQ6F87pxajeqbBP2P3cY4o6e-mvjvfeNLKOBaA=w111-h92-k-no
Paraiso da Moema,ChIJzVK5uQ9azpQRa5TUUr5dz4s,7,"4,7",106,0,bar,https://lh5.googleusercontent.com/p/AF1QipM4r2vWBKeSSpdDvLkifBXGxYtJmFXT_QMHsJ8N=w194-h92-k-no
Restaurante SueD,ChIJBw5NfFJgzpQRqg20dUIKLOI,13,"4,5",25,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipMtK9Moc9Q36Uo1VtPuTAih8XHWtTyvkuWAKPNn=w80-h142-k-no
Restaurante Goes França,ChIJFzxh-9FhzpQRlYu07GKxEPg,14,"4,5",172,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipOqs7Xb1r4No26QTjLrYD6acUReWdPOqpdRX7TX=w163-h92-k-no
Mugui,ChIJZW9ooKlZzpQRpE2_1q2Udcs,5,"4,7",1474,1,japanese restaurant,https://lh5.googleusercontent.com/p/AF1QipPC7hMCMEk8UNeYvziytbxD-K9uuqYsaA2LjCd4=w163-h92-k-no
Restaurante Pio XII,ChIJd1J6HlX1zpQRrSBtZQ5IMmI,2,"4,5",1106,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipNoL8Km41PXHQZAGGMrQeI7_Hc2QatByWIDRGUa=w163-h92-k-no
Restaurante Ímpar,ChIJ73dkTbtgzpQRu9KamYVtR3E,12,"4,4",3231,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipNNmUCUSerISa1B9Oq6tTpw1mZNmUQOdn9V8rdi=w141-h92-k-no
Restaurante Mamarella,ChIJGQrHUAlazpQR_0QoODi34E4,13,"4,5",292,0,restaurant,https://lh5.googleusercontent.com/p/AF1QipOvPvV61VVi3k5hxzj54-4ra6S58-jdXirKZYrb=w163-h92-k-no
Restaurante Barão Gourmet,ChIJe2FMORenmQARliqj3365oTc,13,"4,9",14,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNRWVls2gU4VYY75wktjCI9wNA3_2ak1XQHIB1P=w80-h92-k-no-pi-0-ya61.800003-ro-0-fo100
Típico Paulista,ChIJ7c6iLMlZzpQRNEkAv1Nfd44,9,"4,2",69,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipNqARbaRzZtG5TKI-I2E-Kmz3I0LAP4JZcqUNJY=w122-h92-k-no
Restaurante e Lanchonete Nova Pinheiros,ChIJkQMZowpXzpQRflk4aBWytws,11,"4,3",1039,0,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipO0uw-kVSPIhyCQNxgaXMJYF5KgzemgZz7jl2nA=w80-h142-k-no
LEVANTE BAR E RESTAURANTE,ChIJl1-TCg1fzpQReolH5hXG8-8,7,"4,9",14,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipPSk0G5BVPGrsIQ6XzSvGzXJFeElesIZ5UPuepe=w138-h92-k-no
Prato Feito PPD,ChIJoVhEXAtZzpQRJCPYwI3nZvo,1,"4,6",325,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipPG5sJX2NUIOH3s-qX8_2WgLqZOV0VLwb2-QSAD=w80-h106-k-no
quilinho,ChIJ5_s8IHtZzpQRogxM7GDdJFc,2,"3,7",152,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipNipFUvQvusMY56zQYQJVcT5sPt9gEkj9kRtsqp=w80-h106-k-no
Yellow Restaurante,ChIJ01_spJFZzpQRqrIza3aV6iU,10,"4,6",91,5,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipM63RrI_VHesoS5kxMrsQcKk_iR4rZRqIxuI_Dx=w122-h92-k-no
Mestiço,ChIJVXVFNjJYzpQRqyWHMYK1C18,1,"4,6",2694,2,restaurant,https://lh5.googleusercontent.com/p/AF1QipNYXchHIS8dhpO7uCfh6ExNv5ytJ-WzMz6U_3zq=w122-h92-k-no
Vicolo Nostro,ChIJn8NM579QzpQRWT06N8pdDgQ,8,"4,7",3755,3,italian restaurant,https://lh5.googleusercontent.com/p/AF1QipM7YBsrrtLkSMHA83HxDJnZaZ9ZO59ys_fNxmV4=w163-h92-k-no
Morais & Marques Restaurante,ChIJwePGXU9XzpQRYTbjbYcmiSg,6,"4,3",129,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipPq0YbZgJbpQwv0vtWhCJGdO5G3tNgOoAGhBmCu=w163-h92-k-no
Tenda Árabe,ChIJ8fhlMelbzpQROHh5INSx6uY,4,"4,3",701,1,middle eastern restaurant,https://lh5.googleusercontent.com/p/AF1QipOV5c1jJ-LtARA5QKZsoHxSMqr7n4gpFi3u6Zvz=w204-h92-k-no
Vila das Rosas,ChIJ15_vxKRXzpQR7q5wWc0L3oM,8,"4,7",543,1,health food restaurant,https://lh5.googleusercontent.com/p/AF1QipOfFWMy4GzJaohAdP0c5CaXRdXZgXiXhs8DD9Vd=w122-h92-k-no
Bar e Restaurante Avenida,ChIJOxDKZecDzpQRzu_YYUBdOb4,10,"4,6",134,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipPrFxQcLTUrM6qPZ9MXDvEh0ralmwB0nYcIecdb=w122-h92-k-no
Bar Guanabara - O Bar Mais Antigo de São Paulo,ChIJ1faqFVRYzpQREQql76sHeE0,3,"4,2",1463,1,restaurant,https://lh5.googleusercontent.com/p/AF1QipPwb0t7RqTheHpE6-__ugwdR4RMef0XivJJSKEM=w80-h100-k-no
Cantina Italiana Famiglia Rossi,ChIJT1JB8_RczpQRmHfeUAtXU5I,5,"4,6",1790,1,italian restaurant,https://lh5.googleusercontent.com/p/AF1QipMBE3j1LxLsTB1zdeHZtrb8ZxiqMWT17OEy0fSo=w122-h92-k-no
Bolinha Restaurante,ChIJfUd9M29XzpQRXVbYNG3rM00,10,"4,4",1646,2,brazilian restaurant,https://lh5.googleusercontent.com/p/AF1QipOMh_qkLnFvPmiZetVCi8n5TaXD48R-ThXhRRah=w163-h92-k-no
Restaurante Asia House,ChIJhfs_dalZzpQRwxP5_vUk5nc,2,"4,5",820,1,japanese restaurant,https://lh5.googleusercontent.com/p/AF1QipPZ8CB3FN-nJ9Jh_QlWpVHW9DTAIyFLdn_bu-IC=w163-h92-k-no
Restaurante São Paulo Express,ChIJicTSNihazpQRFuUy2Fp4VUA,9,"4,2",33,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipMVWHFBGHxbvS3Idy9ZZpTsgvMtGvXY6KfkZD8W=w122-h92-k-no
Det's,ChIJMaRh86VXzpQRj-xjIUJe4_Q,6,"4,3",119,0,buffet restaurant,https://lh5.googleusercontent.com/p/AF1QipN5dGkHZnW9UnK_EbFrd9jIvGuti_iBbZpH21GI=w122-h92-k-no
Restaurante M&M,ChIJx1tK4aRlzpQRSYIMzogk75g,7,"4,4",9,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipM7bW0xnlrvwlP_ZBGpA2TLWq2MKYWZW7FVFAJH=w80-h142-k-no
Coco Bambu Osasco,ChIJqXw5Nfr_zpQRhLF4T2JH01E,3,"4,8",21055,2,restaurant,
Quintal do Izi,ChIJq6ontqBXzpQRnNcv1srOl_A,3,"4,4",439,5,restaurant,
Agello Cucina,ChIJGw3R6HdazpQR2GBaZdGv7RQ,4,"4,6",1664,1,italian restaurant,
Djapa Moema | Restaurante Japonês,ChIJmaIvAgNazpQR0z0yYoVBpaY,8,"4,6",7666,2,japanese restaurant,
Restaurante Dona Maya,ChIJ526RwgZ9zpQReIWMZvz6coc,0,"4,3",508,0,restaurant,
Urban Kitchen,ChIJyVVQiJRRzpQR_PHTpjV9R6M,14,"4,7",488,5,restaurant,
Costela & Cia,ChIJVXWztQRDzpQRDJlrroOItZE,14,"4,7",2063,1,restaurant,
Cena Restaurante,ChIJ5-HZeYdBzpQRiZXbTSH7ul8,15,"4,6",1038,2,restaurant,
Trigoart Restaurante,ChIJ9QOMgJ9azpQRe9MQcUXf0gM,13,"4,4",125,0,brazilian restaurant,
Peru's Sandubas,ChIJCzHKyyxZzpQRDIEmXRewBGI,0,"4,5",1845,1,buffet restaurant,
Porta do Sol - Restaurante do Paquito,ChIJE2-mDH8DzpQRKj9D3grPSEc,10,"4,7",1413,1,seafood restaurant,
Fôrno,ChIJQa7iAElYzpQRb5OWe0n_1VY,2,"4,5",5221,1,restaurant,
Restaurante Jangada Santo André,ChIJeboeVl5DzpQR0dNQjRmAm-c,13,"4,4",1541,5,seafood restaurant,
Umiguan Restaurante,ChIJk6oq82ZYzpQRswoYjV1ytDU,5,"4,6",269,1,korean restaurant,https://lh5.googleusercontent.com/p/AF1QipOdDlrPPVACWHHB6KQC89hG6Hnu5bGnIXUbYZpc=w163-h92-k-no
Restaurante Prato Cheio,ChIJ-YUOABh2zpQRNT9enWRaKbg,9,"4,5",26,5,restaurant,https://lh5.googleusercontent.com/p/AF1QipO0auXiDI7i8iC8VCeIEcqATQefeHSRUquLD0CS=w92-h92-k-no
