Nome,ID,Cluster,NotaMedia,QntdAvaliaçoes,FaixaPreço,Categoria,Thumbnail
Chic Gateau Confeitaria,ChIJpdUszFv1zpQR-P10H2ytcJ0,1,5,40,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPFjAd1W7RnFX8S4IcZMDzK2Qm-TwQi25JqMi4l=w80-h106-k-no
Betah Nahuz Bolos,ChIJl2i1u4vVmwARSn0X01GCN88,15,5,1,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNhL4Fk4Ur0HGF_ilMQcfE5vUVdIg7QoFqqWUGw=w89-h92-k-no
Márcia Bolos - Caieiras,ChIJ6aPMD8XkzpQRddg3aQYOWO8,12,"4,9",67,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMBC86jp8yr6lM6tIaFAR7D4fGJkCCCgnx3eq3u=w122-h92-k-no
Arquiteto das Tortas,ChIJpXEW9sJnmQARgaCQtQumt3o,10,"4,3",310,0,bakery,https://lh5.googleusercontent.com/p/AF1QipNTdzQFEABX5PRBjXk4icrlFlaf1z6Ktm1RQGBU=w122-h92-k-no
Brownie / Bolo no pote / Pudim - La Doceria Chic,ChIJfU8AUgNlmQARYuBOmZJUpag,3,"4,7",,5,candy store,https://lh5.googleusercontent.com/p/AF1QipMgGK81apcHNB8vdQHPdCwofisSyNBkSjMOdChv=w80-h113-k-no
Tradicional Bolos e Tortas - Osasco,ChIJrzHmP7FxVwERCJAHWGX-xo0,4,"3,7",47,1,bakery,https://lh5.googleusercontent.com/p/AF1QipM660D-WnFtjkQOU-i2OzuhImMcCQo5zIv9CqJ7=w92-h92-k-no
Sweet Cake,ChIJ05qQRZ9QzpQRDYaWAgR1CzU,4,"4,5",390,5,candy store,https://lh5.googleusercontent.com/p/AF1QipP1YtF9kPMjgDYLZsdQz5ajun3CdaR63Y9dvscg=w92-h92-k-no
Chiffon Cake,ChIJqTt7FzHk3JQRvoYVK0iMe3s,12,"4,6",949,2,bakery,https://lh5.googleusercontent.com/p/AF1QipNpwmx6jpfCRxf1W4dkPbDvJkACTH1GtkFt4EhR=w92-h92-k-no
Nega Maluca Festas,ChIJV2HSzLhKzJQRfR7htHTAv-4,5,"4,7",1499,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMgLNWbPOyI2S70fQ-o98MCJd7a-OUrs-FWOB6Q=w122-h92-k-no
Confeitaria Doce Pecado,ChIJPYLp5oHj3JQRqKxJ2Fjux3U,15,"4,3",195,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOX5d6KQMzztlOXTk7M3vDgDt9qEAIerJYGhdrN=w92-h92-k-no
Luciene Bolos,ChIJ175EZI-dmAARt2JvHBfX844,9,"4,8",20,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMwRCqDZ27KyYsEjtEV4-46RTWUwynPfBgeULIN=w122-h92-k-no
SOW Cake Lounge,ChIJc7C0To9ZzpQRxI8xZGKRSRM,13,"4,4",1663,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOVzvLUVsHrDXrphfdF3L1LzbeaY8S-xt-nZkoZ=w83-h92-k-no
Junior Bolos Criativos,ChIJA-L8CZNFlpQRzZKhSa4enoc,0,5,5,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPZbc1WvgFm7SloauuUJHkpd82Mp3shufKljI6o=w80-h100-k-no
Confeitaria Didé,ChIJAxH0qpfn3JQRdTAZiwpk71M,9,"4,7",99,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPaWRI6N1nG7FSzXEaDGnhSDeSa5ORRkacB_Ea0=w92-h92-k-no
Bomboniere Pathe,ChIJV2ilkmF_mQARMRbuNn7Avmo,3,"4,7",49,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPftki15ja1DRwvjHeV-UbvgGp3NiG07-X7yZ5W=w80-h106-k-no
Rose Patisserie,ChIJDRLeFRT-zpQRi0X-B9xjLUg,5,"4,5",123,0,bakery,https://lh5.googleusercontent.com/p/AF1QipOLmIc_kPjz2lXEYydYNiPEN4_ahUWxk5_AgCI6=w163-h92-k-no
Sueli Bolos Porto Feliz,ChIJCTPFATX_xZQRfI_lGl6Y6o0,2,5,49,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOW9ovwXBCQLlhBeZXJyk5wHJOycRNo_5oi0EI-=w98-h92-k-no
Fábrica de Bolo Vó Alzira Bangu,ChIJXxnExT1gmQARn5EyL57pCuM,10,"4,3",20,0,bakery,https://lh5.googleusercontent.com/p/AF1QipP6pUQ1mjIyX_9KIqCY9zNTsS1TLvygygk4hkA=w92-h92-k-no
Confeitaria Rosinha,ChIJOy6atZvm3JQRRFpujAmMeO0,7,"4,6",334,1,bakery,https://lh5.googleusercontent.com/p/AF1QipM3s-UuGza_mOHHm9SXOLgasYqHFYCO44UoSMOt=w80-h106-k-no
Bolo da Madre - Cambuí,ChIJ11bdwFHPyJQRpWdYkKC_NNk,0,"4,4",99,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOw7hhxs-PfF_XBkK9sIStsjRk9_KQ2YzndvTZD=w122-h92-k-no
Bolos Tia Ju,ChIJ2dOh7Bvxy5QR1R8fBWQyb88,1,"4,7",11,5,bakery,https://lh5.googleusercontent.com/p/AF1QipP-nL4lKvp6n6QoWUhYqxQl6bbjLTqOI2Szgebl=w80-h100-k-no
Helô Doces,ChIJd_Y0HblXzpQRMhit6UacBlo,12,"4,8",58,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNU8f6AWxSdpS-JgVpuvtWERH1CaFo2a7xI9CY=w138-h92-k-no
Carole Crema,ChIJ63-8ytRZzpQRubXlgrtwe8I,13,"4,1",752,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNLozF-Im5xX_9t9r3dowwDOlfcqvSQylZJun1K=w92-h92-k-no
KCLau Doces e Chocolates Confeitaria Artesanal,ChIJrYsXMnbxzJQRVsQ9ZvadwBs,14,5,52,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOUbXhAXmE1JuU2lNsktgqgk85uQUenrn7U34Yf=w96-h92-k-no
La Confiteria,ChIJwZyyN8f73JQRyJLkyGqZcxw,8,"4,8",301,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMsXpEfZ-1DAuA8FJ1q5qkLjPV3RuiKICPxaKnt=w80-h106-k-no
Confeitaria e Sorveteria Lollobrigida,ChIJkd78Ki9RzpQRjL-sks3YOfc,14,"4,6",276,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOTd7qqGbV0aHXZdQvnCzKh6NMZJ9YVKQ5Y--eM=w122-h92-k-no
Sodiê Doces Hermelino Matarazzo,ChIJq2kH0rGKxZQR6IE8URjBws4,0,"4,5",888,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOQPCsXIZbb131yCy3Sgo4Y8xJUMlNCrq4Dw4MQ=w86-h92-k-no
Maria Cereja,ChIJD1jErkX1zpQR1gi6l0k4zQw,8,"4,4",10459,1,bakery,https://lh5.googleusercontent.com/p/AF1QipPGmscrozyhAYKLdImlDvXgA76AEXWVsVTK2jQb=w138-h92-k-no
Let's Café,ChIJydmzkcFaV4IRjVtPr8BRMXo,12,5,5,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPi9e7ecuAmip5qm5dDYqWv7KZ8k9SOGzzITrDn=w138-h92-k-no
Cristallo Oscar Freire,ChIJcZbjn9VZzpQRFSUcBEhHY_s,15,4,368,2,bakery,https://lh5.googleusercontent.com/p/AF1QipOa2AX9xOiiAgAdxrFDrdOGgqSSe_B2HyvSNZ42=w80-h106-k-no
Pimpininha Salgados e Doces,ChIJC6IazyxmmQARHqcrDF1nEGY,3,"4,6",2334,1,bakery,https://lh5.googleusercontent.com/p/AF1QipNxZqL3iX4dwVNSfHZYZVEcOp0vNHtnLmFegD5w=w122-h92-k-no
Isabela Akkari Café et Patisserie,ChIJKbdl3VBXzpQRg-JrlsrYHe8,11,"4,4",608,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPzushV68YMqtpw4l9mFp02TYAw-oYKYABZo7DT=w80-h106-k-no
Confeitaria Lancaster,ChIJHztU6jjk3JQRNXlE3sHrjFU,5,"4,4",1560,2,bakery,https://lh5.googleusercontent.com/p/AF1QipNMDD2zElSFUUigkaWAzkIwgjfG9jAq_IqtUY71=w80-h106-k-no
Cupcake.ito,ChIJCxufu05XzpQR9q-_pMMVZsE,5,"4,9",450,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOnagMw0ZbZaS1ihZM93fusEhS-vyECtVPWAMIT=w80-h106-k-no
Ofner,ChIJ-8tnwpBYzpQR_33i3y6loJc,6,"4,4",1645,2,bakery,https://lh5.googleusercontent.com/p/AF1QipPmKoB77ShY5RnCrvH2_H_G104DS8ecrbsXRWej=w163-h92-k-no
Cheesecake Dream,ChIJD1Ukj9KbyJQRNbBDuRqeF8s,14,"4,8",141,1,bakery,https://lh5.googleusercontent.com/p/AF1QipML3frJSPyk1ekThheIFBn4lgb-OtXo7YfyLLLZ=w122-h92-k-no
Alice Chocolates,ChIJT0v7vnp6zpQRbUnqH1bFdAg,6,"4,8",22,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNuoNOqspWziJFPHbG8vwcCXi-seTplxdjQVtH9=w80-h120-k-no
Abelha Gulosa,ChIJLelZIhbkyJQRpJNtiydrjs8,10,"4,4",5583,2,bakery,https://lh5.googleusercontent.com/p/AF1QipNoDbzCLmL4ZfD91vpOaqYgdeCa9_dVGvhoD_9h=w80-h100-k-no
São Brigadeiros,ChIJFVK6k71czpQR23xY2so_Uno,2,"4,4",684,1,bakery,https://lh5.googleusercontent.com/p/AF1QipO428v7i28owr9Oo0IFonmPk9t6MEoqc6mzDgBN=w80-h106-k-no
PAPÔLA || Cestas Especiais,ChIJ8YvxEDvk3JQRAt88Gzn57tA,7,"4,6",120,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNQ3ohgfvH5bTKFJbdbtxxdQVt8RwvKm3InhX2T=w80-h100-k-no
Ofner - Loja de Fábrica - Socorro,ChIJs7PEmspRzpQRVIll52mYt8E,4,"4,5",3201,2,bakery,https://lh5.googleusercontent.com/p/AF1QipO4ZNtkQR8wOS6JtHaZoIRdKkgi-gpzA7iccvLd=w189-h92-k-no
Ofner - Itaim,ChIJJWX0yWdXzpQRAoSJuBGp6gg,2,"4,4",1757,2,bakery,https://lh5.googleusercontent.com/p/AF1QipNop4icMiuXYeR9tqFybOUU5VjvoA7IE-k2dQIm=w163-h92-k-no
Orquídea Pumila,ChIJk2RDJkJQzpQR8DtF_AU3IJ4,10,"4,6",2589,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMOwnoDEYeuWopOe97iDVhZUWzPVLwAyDEleLcy=w122-h92-k-no
Ofner,ChIJrU1_W_VXzpQRLW4FKwRW57E,7,"4,4",1531,2,bakery,https://lh5.googleusercontent.com/p/AF1QipO6-AIchXFDKcgw51Ull2I5yZK_Lg3MRsG0-bzu=w163-h92-k-no
Maria Bolo Doçaria,ChIJ6RKUdQRazpQRdw8-bdh9BKM,12,"4,2",135,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPmT7l5NMyDh_npk4WPQ5_RT-urICUELgNTCEC2=w122-h92-k-no
SP BOLOS JARDIM VAZ DE LIMA,ChIJS4LG4kRTzpQRbFFmXfszoi8,15,"4,7",357,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOha07j8fWkWQspxIIy0fPkvMkdyoz59WggYCKp=w163-h92-k-no
Bolo à Toa,ChIJ8-UC0KRXzpQR-FM3uv34UHg,10,"4,6",202,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMkyAJRjzSXI1eTRiCzgdqP78AiXSqMteLX9FXv=w122-h92-k-no
We Lov Cakes,ChIJaxBH9TFYzpQRY0Ia4lnEQk8,5,"4,3",67,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNNt553G6fMs8IZernRSU59GOlDTwcxyo1l9Trn=w138-h92-k-no
Sweet Point,ChIJxfBAiLJZzpQRW7TPhXr6ano,9,"4,6",124,5,bakery,https://lh5.googleusercontent.com/p/AF1QipO0Xo1HQQ1ph0mQXCma0apU5dPYiPmYLMGJ7WxK=w138-h92-k-no
Bolos Mara - Bolos Caseiros - Vila Mariana,ChIJx5aqOI1ZzpQRlKbAM4Avxf0,9,"4,3",63,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNQjh3Lf6B1cUpEMdSpJRNXSngtauzoBwi8aPXy=w91-h92-k-no
Arte Bolos,ChIJeWnceYtZzpQRt6YIJDtR6Ww,0,5,11,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNeT6UA259LLkxNqJ_xZ48_2GeC5B_BxFyF4noH=w80-h100-k-no
"Bolo da Madre Higienópolis: Bolos, Doces, Bolo de Pote, Tortas em São Paulo SP",ChIJ80R1MzxYzpQRes2A_BFczVg,4,"4,3",44,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMi1dsWS2JZ_DZA9NuncOJ488Ic593WWwHZc-G7=w138-h92-k-no
Casa De Bolos,ChIJYf6OYVRYzpQRUMFd8InT3Xs,14,"4,1",42,0,bakery,https://lh5.googleusercontent.com/p/AF1QipOW3CdVVoWAh2Vb9t995uYAnRDaslSGeLhNZMNg=w163-h92-k-no
Dolce Via Confeitaria,ChIJ16y30ExazpQRzqlZsEzhg-E,14,5,26,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNc-rDykNZ9HfjUoX4N3DyIQpYoQGG7a-8swJZg=w92-h92-k-no
Bolo ao Forno,ChIJEcW1U_5ZzpQRkc93qmgJFcw,11,"4,8",49,5,bakery,https://lh5.googleusercontent.com/p/AF1QipM7NQovXCjOU6k5sRzoNZ16QcHF5y_ciqaQbvLr=w80-h100-k-no
OSVALDO BOLOS I,ChIJ1eUcZ61PzpQRLESDJfPUnNU,15,"4,6",185,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOFLP17TNmVJ-Totu5OYzn5gBIX_MXjpLM5eBg2=w199-h92-k-no
Bolos Delivery,ChIJG76gEs1ZzpQRm64xMWag3WM,11,5,3,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMucWHbZ_UIpT_n_DjwfrVqdOaU6kBrWpM34Jwy=w131-h92-k-no
"Bolo da Madre Brooklin: Bolos, Doces, Bolo de Pote, Tortas em São Paulo SP",ChIJHaHfF59RzpQRfjIcs_l2OQs,13,"3,3",7,1,bakery,https://lh5.googleusercontent.com/p/AF1QipO_Brh2c0Ebiq4yEW-x1jd8gaMZiZT9X0emUMtZ=w165-h92-k-no
"Bolo da Madre Vila Nova Conceição: Bolos, Doces, Bolo de Pote, Tortas em São Paulo SP",ChIJG1TaS39XzpQRw4y8HsYig64,4,"2,7",3,1,bakery,https://lh5.googleusercontent.com/p/AF1QipO2bE3TNSl5x1RH51S3NZPeVFPws_syDIXkjv7o=w93-h92-k-no
Tradicional Bolos e Tortas - Jardins,ChIJk4reTghZzpQRk7m05M8DLzI,11,"4,4",70,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMK1BlxNSYk6uST7MsArdsGYBSaUxYlgOXBpcSf=w92-h92-k-no
"Bolo da Madre Shopping Frei Caneca: Bolos, Doces, Bolo de Pote, Tortas em São Paulo SP",ChIJF5UlgLFZzpQRFrKBfjvGvr0,13,"3,8",9,1,bakery,https://lh5.googleusercontent.com/p/AF1QipNZN5-pjPwGLpV_VO_Y9b0HKIFs4OhGsx1XLlVw=w80-h106-k-no
Alice Bolos,ChIJp2vwx51QzpQRKjGUXXQYnRE,6,"4,3",6,5,bakery,https://lh5.googleusercontent.com/p/AF1QipN_JjR9qzeJMCFkSUGkDGAL1YJg-FXps4GK31g=w80-h164-k-no
Tradicional Bolos e Tortas - Itaim Clodomiro Amazonas,ChIJN2cyEMRZzpQRNXnBxDmZVos,13,"4,3",80,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOs-fFexV8nbRd61q_dZYQPn6iYqjFuHeJfNzhP=w138-h92-k-no
Bakespot,ChIJm1PgYgxZzpQRoUGS4kZxwqw,6,"4,9",24,5,bakery,https://lh5.googleusercontent.com/p/AF1QipO92ZO-VrqLaFnIbmJt3E-pnTg1yGObapipOET9=w138-h92-k-no
"Deli Cake - Bolos, doces e presentes",ChIJIUdqNe1ZzpQRYbcUIBY8rvk,3,5,12,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOPgftwIlOtfUW9c8wT_7kBpLH31naSZtdMJGRg=w184-h92-k-no
Bolo no Pote,ChIJj0OE5U9ZzpQRTGJiqzsj8nQ,5,"4,5",,5,bakery,https://lh5.googleusercontent.com/p/AF1QipM7NBEDl8sQw7CW8l-VFPwKxo0WWhb6StRSDovi=w184-h92-k-no
Bolomania - Homemade Cakes,ChIJsZJ04pVbzpQRtDWXeHOSyhA,4,"4,4",33,0,bakery,https://lh5.googleusercontent.com/p/AF1QipN627p6oaLVbt_8Ml6vYvUivO0M6PAWBs2IL9up=w80-h142-k-no
Cakes Caseiros D 'Luana,ChIJpfjzIrNZzpQRLDXO289p3ro,3,"4,8",21,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPVdzvr-VoOP3Uxdky92tf7k8GfcsmlC6-mQF8F=w163-h92-k-no
Casa de Bolos,ChIJqdojVFNYzpQRcfaX2Cr90tw,9,"4,4",34,0,bakery,https://lh5.googleusercontent.com/p/AF1QipNbPB5AmLFF8ClMPXGnOlLuCklRYE1eue2BFfw6=w80-h142-k-no
Bolo da Madre - Consolação,ChIJh1dJQjJYzpQR3vTAy8zBcTQ,6,"4,3",28,1,bakery,https://lh5.googleusercontent.com/p/AF1QipNIhM0ruW1qVTLgLJe8biv7KS5k_KXHJQRu_ypl=w80-h119-k-no
BOLO CASEIRO NO POTE - QUIOSQUE CENTER 3,ChIJ2ZTE_gpZzpQRXl8j3rEuQts,3,"4,9",7,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMnPXlBNga7Hf1ojQFaKzKWZnALTIj68hfinwsf=w122-h92-k-no
Fazenda dos Bolos,ChIJw1gHhE1YzpQRJ1pgu75q7UY,7,"4,3",85,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPJP0RxF_powcc-UkCPW21-9tjDUBd5EL3lbnJH=w80-h142-k-no
Doceria La Bucai,ChIJvYQyJFNYzpQRt88p-ocI8zw,1,"4,6",81,1,bakery,https://lh5.googleusercontent.com/p/AF1QipO3fD9iVlLjroKgtuPBRVykyXBBD_uUtsu17zpg=w80-h106-k-no
Ana Lú Bolos e Brigadeiros,ChIJ9Xcv2GxZzpQRIqBqL3gmulk,0,"4,5",,5,bakery,https://lh5.googleusercontent.com/p/AF1QipO9g0sgLjRS7rspeCADAcvz7Ohc9GqFGURemSWX=w80-h106-k-no
Senhor Bolo,ChIJF5Sh_rFZzpQRzpold-m7Q6w,15,"4,7",7,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOTv5EWG7aXEoP1gN2LkU3U_p3E2Hmzc9ZLiJtq=w80-h142-k-no
Kaka Bolos,ChIJt7ih_OxfzpQRAfR7eif1_C4,11,5,1,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPz2lTyyjpEN1NR2yOYXNPz73Nl47s131zrSeQz=w80-h106-k-no
Cia Buns Homemade,ChIJEV8aYNNezpQRC62c1-JyPNg,15,"4,9",58,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNw22BmOHPjW1u1DwbUYuUl31EFCfaIGbLkvBq7=w80-h98-k-no
"Bolo da Madre Vila Mariana: Bolos, Doces, Bolo de Pote, Tortas em São Paulo SP",ChIJdy67bA1ZzpQRfHVWIZdpVzI,3,"4,9",11,1,bakery,https://lh5.googleusercontent.com/p/AF1QipNf8jpbkU2xBina2Vb6BisCCRJWz6MfbNIM91py=w122-h92-k-no
Ateliê Lilian Carvalho,ChIJ-REENfJbzpQRIPAbz8Yc4pA,5,"4,9",133,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPbpxg7f69PYJA6dL-aSaiWxbXtWnJfHIeOowdG=w92-h92-k-no
Atelier dos Bolos,ChIJ5-1DNj9ZzpQRqd1sXB1pZiM,9,"4,2",26,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMSgEx2jq-LLGGd7PNZCBGOA0KtXK76VNsX00f3=w122-h92-k-no
Concettuale Cake.,ChIJwU7pnktRzpQRpeCBIeA5JzA,3,"4,9",84,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPTq7Sq8uGrfnXsB79CtuB1XWekr7hIQ8YcvcAl=w86-h92-k-no
Bolar Bolos,ChIJKdmrLW5RzpQReH1RPZK02X4,14,5,1,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOFH7wFyMD4-NZHtV2McN7efqOSHu5_zNTzq_Ue=w80-h120-k-no
Bolos Artesanais Fabi,ChIJ_3tZucn3zpQRrN7FG5ak7Vc,15,"4,7",49,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMtqOSRe-gyML25qvqCwhBTgiJBlBGgyPoehIOo=w92-h92-k-no
Boloteca,ChIJoYg-oyhXzpQRRT7uOUgn4Ss,6,"4,6",57,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNUrP7dL2mzxb8QikYkZKyzAohnJpztAKNDGna8=w133-h92-k-no
Casa de Bolos Consolação,ChIJs10lxu9ZzpQR1n5xQNFc3-s,10,4,16,0,bakery,https://lh5.googleusercontent.com/p/AF1QipMq5RyT_dmqwxcs91iYfrTBoauq7ee_2zahGZ9e=w80-h106-k-no
Mabeh Bolos,ChIJu7nJUlpZzpQROLGJ_JNC8PQ,12,"4,5",,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNwzmlnniB9eJcCbGz3JUZpY0W0Dq5xn6kvcYre=w163-h92-k-no
BOLO DA CASA DA VOVÓ,ChIJ14uPiRRYzpQRPjmygYN05OM,15,"4,2",32,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOSl2J-X8me2RLeoTtBij3eJ0V1C4tfkrLzwQx3=w138-h92-k-no
"Leclair Confeitaria - Bolos, Doces e Café - Moema",ChIJyymZprtbzpQRaG_UAgj-hGE,3,"4,9",43,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNIqkiDHoJRzsS-d7ejSVegbLCfgZ5VlQU9KZBz=w163-h92-k-no
Gâteau de Mariée - Ateliê de Bolos e Doces,ChIJgVD6JbtRzpQRtvNp1sPP62w,7,"4,2",18,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMtyreBk2je8pEf7ice9XKCGdSkH--pt4EApTI=w80-h106-k-no
Bolo da Madre Aclimação,ChIJ9cnAfz9ZzpQRL299G6qxco4,5,"4,5",39,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOjJkdlh6QvdBV7tIJ2FfaBccq-5zx3GIpl60Gb=w138-h92-k-no
Jeny Bolos,ChIJ35m_35lpzpQRaLbGEzLzQug,3,"4,3",133,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMnl_8vhprHBEIdfojCCHJVptFosKHf9PU_wJzH=w92-h92-k-no
Casa de Bolos e Cafeteria Aclimação,ChIJK207MAtZzpQRWc-aO3LFmbA,7,4,201,1,bakery,https://lh5.googleusercontent.com/p/AF1QipO9psYfZr5_kQhl2S9aE86gGwGlFeF10xv7B0J-=w163-h92-k-no
Casa de Bolos - Loja Paraíso,ChIJpdOB9ZBZzpQRRQ7EiBB2NaE,10,"3,9",76,0,bakery,https://lh5.googleusercontent.com/p/AF1QipM48qLpIUgBZWNOhu6AiAlaTnCbAZFZ48rhpOsq=w92-h92-k-no
Confeitaria da Luana - Fábrica,ChIJCQQ3NJ9XzpQRerMCGXgMabI,6,"4,4",308,1,bakery,https://lh5.googleusercontent.com/p/AF1QipOytcsF3FFZajSCD8zH25A0mzhJpgowH4B_mStL=w138-h92-k-no
FORMIGUETE BOLO,ChIJ33nk7n5ZzpQRAb78WDnZ3Mg,6,"4,8",13,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOUxph3ocA8xLsUKOoavdda8Eezn3tCnE06xbzw=w92-h92-k-no
Mimi Bolos,ChIJI-oXyiVZzpQRlgBTQiiLeMU,12,5,5,5,bakery,https://lh5.googleusercontent.com/p/AF1QipOT-46ySbcBG6spola-K5zROU9H43cteS095uC2=w80-h158-k-no
Casa de Bolos Zigante,ChIJrcI9TplZzpQRHo5ippkIRpM,15,"4,7",6,5,bakery,https://lh5.googleusercontent.com/p/AF1QipN8tUuXoo3tJ4Iqy6a1COf5HyKfLqhqB68STT9g=w122-h92-k-no
Loja Augusta - Casa de Bolos,ChIJodiuXtNZzpQRGg8FWyT4xkk,9,"4,2",159,0,bakery,https://lh5.googleusercontent.com/p/AF1QipPr-4Kd18TSFTV6QlSNmF0NGYd-UOt9Pd7hZsSy=w92-h92-k-no
Alteza Doceria,ChIJf3TwyahZzpQRR3wayh_3WZ0,1,"4,5",200,5,bakery,https://lh5.googleusercontent.com/p/AF1QipP9XaVjOrgXwXwl7Tmxx3RkQ6Z7H72eukYzl_4M=w80-h106-k-no
Fábrica de Bolo Augusta,ChIJR9SaWX9ZzpQRZ7uu7f6u8J0,15,"4,4",7,5,bakery,https://lh5.googleusercontent.com/p/AF1QipMO1FmSLa58BbhLQQZ3w4l1-U02L06URpleMPB6=w92-h92-k-no
Bolo da Vila,ChIJCYa9iiNazpQRP-utfO6Dlvk,7,"4,6",111,1,bakery,https://lh5.googleusercontent.com/p/AF1QipNPlb2b-AAcn3UBYsIXZKHxVQG8aT_qJbUTo-Be=w122-h92-k-no
Bora de Brownie - Bolos e tortas salgadas além dos deliciosos doces e sobremesas,ChIJy8vDFp5bzpQRWkZPrpXARes,3,"4,5",18,5,bakery,https://lh5.googleusercontent.com/p/AF1QipNn6xtH3I2U0Kk6-5X1C0Tudm5UQSC-bLExtrzz=w80-h142-k-no
Casa de Bolos Brigadeiro,ChIJ7TAMz2JZzpQRL8zDuwgxejc,9,"4,1",63,0,bakery,https://lh5.googleusercontent.com/p/AF1QipMZhBDcYsf4K3XGZz4mtdyTO4Xm01igyJ4S12Vv=w199-h92-k-no
Mercearia de Bolo,ChIJAQCsfp9ZzpQRXDTCBfpj9bA,3,"3,9",23,5,bakery,https://lh5.googleusercontent.com/p/AF1QipP9Jma5niwnbb2Azoly2iWSnAUvC25ajvQS2t0g=w80-h170-k-no
Bolo da Madre,ChIJ65tVzDFZzpQRRfhrDbB1OJA,6,"4,3",11,1,bakery,https://lh5.googleusercontent.com/p/AF1QipN3nwSlM7WEEFquc3VwbFjH-q7DK37k651aduOr=w165-h92-k-no
Casa de Bolos,ChIJr6AERz9YzpQRSqzbfRPZFuU,5,"4,4",251,0,bakery,https://lh5.googleusercontent.com/p/AF1QipMev10_92_pIdXbWNtNzQ2xNRcRsD-L3MX_NOfA=w93-h92-k-no
Casa de Bolos Vila Madalena,ChIJQ18xyzxXzpQR-563d38amn4,14,"4,1",32,5,bakery,https://lh5.googleusercontent.com/p/AF1QipPGKE1ruACQR7qh3JtG8hEVUVWeaiZspT4Cv_4J=w80-h100-k-no
Casa de Bolos,ChIJmaUAeU9YzpQRnnOi_K0mRvU,3,"4,3",46,0,bakery,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G-AFrjsx6E2SIqauJ2_ShA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.5638&pitch=0&thumbfov=100
Fábrica de bolo - Vó Alzira,ChIJNRptXFJYzpQRNpcScYAM-MM,15,"3,9",20,0,bakery,https://lh5.googleusercontent.com/p/AF1QipOuoswo-rV59ua0QhGPNtuQjDzyzJlUTp3UFRct=w118-h92-k-no
Tradicional Bolos e Tortas Parque da Mooca,ChIJjUAS2gNczpQRljxp7YtXHmo,4,"4,3",36,1,bakery,https://lh5.googleusercontent.com/p/AF1QipMwWFSukKTzmvtRSGAulAturvcbog6jf9obuwt-=w138-h92-k-no
