Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,12:0,15:30,0,0,51,0,tarde,tarde
ChIJzXOTr3F6zpQREonFacwk8sg,11:0,15:0,0,15,43,0,manha,tarde
ChIJGwycOXNXzpQR_DOWfX0PAfk,11:0,15:30,0,15,51,0,manha,tarde
ChIJWwr1weBQzpQRRbgL43Cbh5I,11:0,16:0,0,15,58,0,manha,tarde
ChIJT2hqm6NXzpQRrtvbTCDo_OM,11:0,15:0,0,15,43,0,manha,tarde
ChIJl5gYIPofzpQRHYBK-sTjfIA,10:0,16:0,0,32,58,0,manha,tarde
ChIJ5y4kLmwDzpQRmWL0QjyMpWA,11:0,15:30,0,15,51,0,manha,tarde
ChIJCSATGsUY35QRfKsA2-RcpDM,10:45,14:30,0,19,36,0,manha,tarde
ChIJA106w3dXzpQR8LrzPvJJyNg,11:30,24:0,0,7,100,85,manha,noite
ChIJzVK5uQ9azpQRa5TUUr5dz4s,7:0,22:0,0,83,100,51,manha,noite
ChIJBw5NfFJgzpQRqg20dUIKLOI,10:30,14:30,0,24,36,0,manha,tarde
ChIJFzxh-9FhzpQRlYu07GKxEPg,6:0,20:0,0,100,100,17,manha,noite
ChIJZW9ooKlZzpQRpE2_1q2Udcs,11:30,14:30,0,7,36,0,manha,tarde
ChIJd1J6HlX1zpQRrSBtZQ5IMmI,11:30,15:30,0,7,51,0,manha,tarde
ChIJ73dkTbtgzpQRu9KamYVtR3E,11:20,15:30,0,10,51,0,manha,tarde
ChIJu4l6ek30tZQRjTzb2STLprI,,,0,0,0,0,,
ChIJGQrHUAlazpQR_0QoODi34E4,11:0,17:0,0,15,72,0,manha,tarde
ChIJe2FMORenmQARliqj3365oTc,11:0,15:30,0,15,51,0,manha,tarde
ChIJ7c6iLMlZzpQRNEkAv1Nfd44,11:0,15:0,0,15,43,0,manha,tarde
ChIJkQMZowpXzpQRflk4aBWytws,6:0,24:0,0,100,100,85,manha,noite
ChIJl1-TCg1fzpQReolH5hXG8-8,8:0,21:0,0,66,100,34,manha,noite
ChIJoVhEXAtZzpQRJCPYwI3nZvo,11:30,18:0,0,7,87,0,manha,tarde
ChIJ9SymEm6LzpQRqPCEF0SstdA,,,0,0,0,0,,
ChIJ5_s8IHtZzpQRogxM7GDdJFc,11:30,15:0,0,7,43,0,manha,tarde
ChIJ01_spJFZzpQRqrIza3aV6iU,11:30,14:30,0,7,36,0,manha,tarde
ChIJVXVFNjJYzpQRqyWHMYK1C18,12:0,1:0,0,0,100,85,tarde,madrugada
ChIJn8NM579QzpQRWT06N8pdDgQ,12:0,15:0,0,0,43,0,tarde,tarde
ChIJwePGXU9XzpQRYTbjbYcmiSg,11:0,15:0,0,15,43,0,manha,tarde
ChIJ8fhlMelbzpQROHh5INSx6uY,12:0,23:0,0,0,100,68,tarde,noite
ChIJ15_vxKRXzpQR7q5wWc0L3oM,11:30,16:0,0,7,58,0,manha,tarde
ChIJOxDKZecDzpQRzu_YYUBdOb4,6:0,2:0,0,100,100,85,manha,madrugada
ChIJ1faqFVRYzpQREQql76sHeE0,9:0,17:0,0,49,72,0,manha,tarde
ChIJT1JB8_RczpQRmHfeUAtXU5I,10:0,16:0,0,32,58,0,manha,tarde
ChIJfUd9M29XzpQRXVbYNG3rM00,11:0,16:30,0,15,65,0,manha,tarde
ChIJhfs_dalZzpQRwxP5_vUk5nc,11:30,15:30,0,7,51,0,manha,tarde
ChIJicTSNihazpQRFuUy2Fp4VUA,11:0,15:0,0,15,43,0,manha,tarde
ChIJMaRh86VXzpQRj-xjIUJe4_Q,10:45,15:0,0,19,43,0,manha,tarde
ChIJx1tK4aRlzpQRSYIMzogk75g,10:0,24:0,0,32,100,85,manha,noite
