Estabelecimento_ID,sunday,monday,tuesday,wednesday,thursday,friday,saturday,aberto_dia_util,aberto_final_de_semana
ChIJOWpmNwXVmwARAerbOcgrZLE,0,1,1,1,1,1,1,100.0,66.7
ChIJnQuaS6dXzpQRdJ_Bk-VLcIo,1,1,1,1,1,1,1,100.0,100.0
ChIJzXOTr3F6zpQREonFacwk8sg,0,1,1,1,1,1,1,100.0,66.7
ChIJGwycOXNXzpQR_DOWfX0PAfk,0,1,1,1,1,1,1,100.0,66.7
ChIJWwr1weBQzpQRRbgL43Cbh5I,1,1,1,1,1,1,1,100.0,100.0
ChIJT2hqm6NXzpQRrtvbTCDo_OM,0,1,1,1,1,1,0,100.0,33.3
ChIJl5gYIPofzpQRHYBK-sTjfIA,1,1,1,1,1,1,1,100.0,100.0
ChIJ5y4kLmwDzpQRmWL0QjyMpWA,0,1,1,1,1,1,1,100.0,66.7
ChIJCSATGsUY35QRfKsA2-RcpDM,0,1,1,1,1,1,1,100.0,66.7
ChIJA106w3dXzpQR8LrzPvJJyNg,1,1,1,1,1,1,1,100.0,100.0
ChIJzVK5uQ9azpQRa5TUUr5dz4s,0,1,1,1,1,1,1,100.0,66.7
ChIJBw5NfFJgzpQRqg20dUIKLOI,0,1,1,1,1,1,1,100.0,66.7
ChIJFzxh-9FhzpQRlYu07GKxEPg,0,1,1,1,1,1,0,100.0,33.3
ChIJZW9ooKlZzpQRpE2_1q2Udcs,0,0,1,1,1,1,1,75.0,66.7
ChIJd1J6HlX1zpQRrSBtZQ5IMmI,0,1,1,1,1,1,1,100.0,66.7
ChIJ73dkTbtgzpQRu9KamYVtR3E,1,1,1,1,1,1,1,100.0,100.0
ChIJu4l6ek30tZQRjTzb2STLprI,1,1,1,1,1,1,1,100.0,100.0
ChIJGQrHUAlazpQR_0QoODi34E4,0,1,1,1,1,1,1,100.0,66.7
ChIJe2FMORenmQARliqj3365oTc,0,1,1,1,1,1,1,100.0,66.7
ChIJ7c6iLMlZzpQRNEkAv1Nfd44,0,1,1,1,1,1,1,100.0,66.7
ChIJkQMZowpXzpQRflk4aBWytws,1,1,1,1,1,1,1,100.0,100.0
ChIJl1-TCg1fzpQReolH5hXG8-8,0,1,1,1,1,1,1,100.0,66.7
ChIJoVhEXAtZzpQRJCPYwI3nZvo,1,1,1,1,1,1,1,100.0,100.0
ChIJ9SymEm6LzpQRqPCEF0SstdA,1,1,1,1,1,1,1,100.0,100.0
ChIJ5_s8IHtZzpQRogxM7GDdJFc,0,1,1,1,1,1,1,100.0,66.7
ChIJ01_spJFZzpQRqrIza3aV6iU,0,1,1,1,1,0,0,100.0,0.0
ChIJVXVFNjJYzpQRqyWHMYK1C18,1,1,1,1,1,1,1,100.0,100.0
ChIJn8NM579QzpQRWT06N8pdDgQ,1,1,1,1,1,1,1,100.0,100.0
ChIJwePGXU9XzpQRYTbjbYcmiSg,0,1,1,1,1,1,0,100.0,33.3
ChIJ8fhlMelbzpQROHh5INSx6uY,1,0,1,1,1,1,1,75.0,100.0
ChIJ15_vxKRXzpQR7q5wWc0L3oM,1,0,1,1,1,1,1,75.0,100.0
ChIJOxDKZecDzpQRzu_YYUBdOb4,1,1,1,1,1,1,1,100.0,100.0
ChIJ1faqFVRYzpQREQql76sHeE0,0,1,1,1,1,1,1,100.0,66.7
ChIJT1JB8_RczpQRmHfeUAtXU5I,1,0,0,1,1,0,1,50.0,66.7
ChIJfUd9M29XzpQRXVbYNG3rM00,1,1,1,1,1,1,1,100.0,100.0
ChIJhfs_dalZzpQRwxP5_vUk5nc,0,1,1,1,1,1,1,100.0,66.7
ChIJicTSNihazpQRFuUy2Fp4VUA,0,1,1,1,1,1,1,100.0,66.7
ChIJMaRh86VXzpQRj-xjIUJe4_Q,0,1,1,1,1,1,0,100.0,33.3
ChIJx1tK4aRlzpQRSYIMzogk75g,1,1,1,1,1,1,1,100.0,100.0
ChIJqXw5Nfr_zpQRhLF4T2JH01E,1,1,1,1,1,1,1,100.0,100.0
ChIJq6ontqBXzpQRnNcv1srOl_A,0,1,1,1,1,1,0,100.0,33.3
ChIJGw3R6HdazpQR2GBaZdGv7RQ,1,0,1,1,1,1,1,75.0,100.0
ChIJmaIvAgNazpQR0z0yYoVBpaY,1,1,1,1,1,1,1,100.0,100.0
ChIJ526RwgZ9zpQReIWMZvz6coc,0,1,1,1,1,1,1,100.0,66.7
ChIJyVVQiJRRzpQR_PHTpjV9R6M,1,1,1,1,1,1,1,100.0,100.0
ChIJVXWztQRDzpQRDJlrroOItZE,1,0,1,1,1,1,1,75.0,100.0
